Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s),Altitude Change,Phase
2022-10-02,19:51:45,-37.01680538015387,174.76919863697114,245.745,84.79481742221856,55.245000000000005,0
2022-10-02,19:51:50,-37.01805426318953,174.76477234098883,300.99,84.8829657925883,55.245000000000005,0
2022-10-02,19:51:55,-37.01929776657634,174.76027637721083,356.235,85.09987226666391,55.245000000000005,0
2022-10-02,19:52:00,-37.02053800098835,174.75572200328855,411.48,85.397704,55.245000000000005,0
2022-10-02,19:52:05,-37.021777077099635,174.7511204768733,470.91600000000005,85.72862814815122,59.436000000000035,0
2022-10-02,19:52:10,-37.02301710558427,174.7464830556164,530.3520000000001,86.04481186667219,59.436000000000035,0
2022-10-02,19:52:15,-37.02426019711629,174.74182099716927,589.788,86.29842231111756,59.43599999999992,0
2022-10-02,19:52:20,-37.02550846236978,174.73714555918326,649.224,86.44162663704195,59.436000000000035,0
2022-10-02,19:52:25,-37.02676401201878,174.73246799930968,708.6600000000001,86.426592,59.436000000000035,0
2022-10-02,19:52:30,-37.02802817381563,174.72779859606857,774.1920000000001,86.24258436502868,65.53200000000004,0
2022-10-02,19:52:35,-37.029299143825675,174.72314371145447,839.7240000000002,86.02726493509435,65.53200000000004,0
2022-10-02,19:52:40,-37.03057433519255,174.71850872833068,905.256,85.95539372264567,65.53199999999981,0
2022-10-02,19:52:45,-37.03185116105986,174.7138990295604,970.788,86.20173074013134,65.53200000000004,0
2022-10-02,19:52:50,-37.03312703457126,174.70931999800692,1036.3200000000002,86.941036,65.53200000000015,0
2022-10-02,19:52:55,-37.03440330818292,174.70476090259615,1078.9920000000002,88.31329711173402,42.672000000000025,0
2022-10-02,19:53:00,-37.03569709160138,174.70014655650502,1121.6640000000002,90.3194120729504,42.672000000000025,0
2022-10-02,19:53:05,-37.03702943384573,174.69538565897304,1164.3360000000002,92.92550647829974,42.672000000000025,0
2022-10-02,19:53:10,-37.03842138393507,174.6903869092399,1207.008,96.09770592243272,42.6719999999998,0
2022-10-02,19:53:15,-37.03989399088853,174.68505900654512,1249.68,99.802136,42.672000000000025,0
