Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s),Altitude Change,Phase
2023-09-27,12:56:39,-46.11452113157803,-154.27923397121288,11580.01875,216.38660341259225,0.3401785714286234,1
2023-09-27,12:56:44,-46.113547784237376,-154.2935138671162,11580.358928571428,216.414127912155,0.3401785714286234,1
2023-09-27,12:56:49,-46.112575544676275,-154.30779389369084,11580.699107142857,216.44173084218752,0.3401785714286234,1
2023-09-27,12:56:54,-46.11160441425997,-154.3220740514397,11581.039285714283,216.46941226127845,0.3401785714268044,1
2023-09-27,12:56:59,-46.110634394353674,-154.33635434086554,11581.379464285714,216.4971722280165,0.3401785714304424,1
2023-09-27,12:57:04,-46.10966548632261,-154.35063476247126,11581.719642857142,216.52501080099032,0.3401785714286234,1
2023-09-27,12:57:09,-46.10869769153202,-154.3649153167596,11582.059821428573,216.55292803878865,0.3401785714304424,1
2023-09-27,12:57:14,-46.10773101134711,-154.37919600423345,11582.4,216.580924,0.3401785714268044,1
2023-09-27,12:57:19,-46.106765446332446,-154.3934768253934,11582.89586490939,216.60899869549252,0.4958649093896383,1
2023-09-27,12:57:24,-46.10580099384989,-154.40775778073106,11583.39172981878,216.6371519452511,0.4958649093914573,1
2023-09-27,12:57:29,-46.104837650460595,-154.4220388707358,11583.88759472817,216.66538352154015,0.4958649093896383,1
2023-09-27,12:57:34,-46.10387541272576,-154.436320095897,11584.383459637562,216.693693196624,0.4958649093914573,1
2023-09-27,12:57:39,-46.10291427720658,-154.4506014567041,11584.879324546951,216.72208074276688,0.4958649093896383,1
2023-09-27,12:57:44,-46.10195424046421,-154.46488295364645,11585.375189456345,216.7505459322332,0.4958649093932763,1
2023-09-27,12:57:49,-46.10099529905985,-154.47916458721346,11585.871054365733,216.7790885372873,0.4958649093878193,1
2023-09-27,12:57:54,-46.10003744955468,-154.49344635789447,11586.366919275124,216.80770833019335,0.4958649093914573,1
2023-09-27,12:57:59,-46.09908068850986,-154.50772826617887,11586.862784184514,216.8364050832158,0.4958649093896383,1
2023-09-27,12:58:04,-46.0981250124866,-154.5220103125561,11587.358649093903,216.86517856861897,0.4958649093896383,1
2023-09-27,12:58:09,-46.097170418046055,-154.53629249751543,11587.854514003297,216.8940285586671,0.4958649093932763,1
2023-09-27,12:58:14,-46.096216901749415,-154.55057482154638,11588.350378912684,216.9229548256246,0.4958649093878193,1
2023-09-27,12:58:19,-46.09526446015788,-154.56485728513826,11588.846243822076,216.95195714175577,0.4958649093914573,1
2023-09-27,12:58:24,-46.0943130898326,-154.57913988878047,11589.342108731464,216.9810352793248,0.4958649093878193,1
2023-09-27,12:58:29,-46.093362787334776,-154.59342263296242,11589.837973640855,217.0101890105962,0.4958649093914573,1
2023-09-27,12:58:34,-46.0924135492256,-154.60770551817347,11590.333838550248,217.03941810783425,0.4958649093932763,1
2023-09-27,12:58:39,-46.09146537206621,-154.621988544903,11590.829703459638,217.0687223433031,0.4958649093896383,1
2023-09-27,12:58:44,-46.09051825241783,-154.63627171364035,11591.325568369028,217.09810148926735,0.4958649093896383,1
2023-09-27,12:58:49,-46.08957218684163,-154.65055502487502,11591.821433278415,217.12755531799107,0.4958649093878193,1
