Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s)
2022-09-27,21:10:29,-8.878581998648086,13.212290995130669,190.5,96.20102800000001
2022-09-27,21:10:35,-8.882721002559848,13.207893968879217,266.7,98.258804
2022-09-27,21:10:43,-8.886657999026447,13.202680992035312,358.14000000000004,98.773248
2022-09-27,21:10:46,-8.887894000492551,13.200119979699018,403.86,98.773248
2022-09-27,21:10:50,-8.88917500296151,13.196487984521747,464.82000000000005,98.258804
2022-09-27,21:10:54,-8.889679004369686,13.194161027237916,502.92,98.258804
2022-09-27,21:10:57,-8.889987996942882,13.19050801396256,541.02,99.802136
2022-09-27,21:11:00,-8.88986200182563,13.187736992636776,563.88,101.345468
2022-09-27,21:11:04,-8.889404005399127,13.184059015485666,594.36,102.8888
2022-09-27,21:11:10,-8.88863799395523,13.178432036111328,632.46,106.489908
2022-09-27,21:11:13,-8.888351004709424,13.175075042525433,655.32,108.547684
2022-09-27,21:11:17,-8.88807700534935,13.170885000436067,670.5600000000001,110.60546000000001
2022-09-27,21:11:21,-8.888125006384351,13.166877989569333,685.8000000000001,112.663236
2022-09-27,21:11:28,-8.888947004919684,13.159480029248575,716.2800000000001,116.26434400000001
2022-09-27,21:11:32,-8.889633000482538,13.15519702031887,731.52,119.865452
2022-09-27,21:11:36,-8.890456999866728,13.151239961887832,746.76,121.92322800000001
2022-09-27,21:11:39,-8.8913270008253,13.14737604085209,762.0,124.495448
2022-09-27,21:11:43,-8.892268999376084,13.1437210038448,777.24,125.524336
2022-09-27,21:11:46,-8.893294997052486,13.140160996109577,807.72,127.067668
2022-09-27,21:11:50,-8.894805998160157,13.135458978008584,845.82,128.611
2022-09-27,21:11:53,-8.89590000577493,13.132119020575669,876.3000000000001,129.639888
2022-09-27,21:11:59,-8.897854999008635,13.126577984155803,914.4000000000001,130.668776
2022-09-27,21:12:02,-8.899566995188186,13.121959020262022,952.5,132.212108
2022-09-27,21:12:06,-8.901253992507268,13.117485955489508,975.36,134.269884
