Latitude,Longitude,Altitude (m)
-38.09266,149.3703,9577.427
-38.066563,149.3582,9589.17
-38.12544,149.34425,9581.836
-38.10252,149.25613,9578.0
-38.19047,149.27763,9566.076
-38.207207,149.34735,9583.085
-38.1627,149.30424,9588.4795
-38.17432,149.24686,9596.05
-38.115448,149.24657,9603.12
-38.20761,149.23978,9586.162
-38.35836,149.24509,9563.495
-38.327957,149.2127,9571.932
-38.256126,149.18703,9602.901
-38.13015,149.18533,9635.009
-38.39886,149.16898,9576.69
-38.37894,149.1673,9596.247
-38.40222,149.16225,9585.977
-38.438595,149.1115,9588.588
-38.451622,149.14987,9591.041
-38.456184,149.10413,9591.676
-38.43137,149.08409,9605.574
-38.44264,149.08446,9608.992
-38.46034,149.06538,9604.878
-38.5969,149.07382,9593.34
-38.572212,149.03947,9593.2
-38.300938,148.99963,9651.121
-38.792824,149.0514,9550.173
-38.588062,149.01964,9604.014
-38.690933,148.97357,9578.997
-38.732872,148.97952,9566.822
-38.676025,148.96532,9598.845
-38.757492,148.97469,9578.975
-38.757317,148.93309,9574.216
-38.792133,148.92574,9579.707
-38.77695,148.91211,9589.474
-38.856197,148.90396,9578.028
-38.835903,148.90363,9583.438
-38.812214,148.8682,9593.698
-38.721085,148.88315,9612.106
-38.967373,148.84839,9550.765
-38.94051,148.82683,9578.89
-38.926243,148.81693,9597.194
-38.949467,148.84244,9585.094
-39.036762,148.77055,9567.81
-39.04738,148.7833,9580.716
-38.95911,148.8151,9601.993
-39.13603,148.70877,9554.592
-39.046467,148.76854,9594.757
-39.109676,148.75827,9574.227
-39.15234,148.70554,9562.954
-39.13409,148.71736,9579.239
-39.1723,148.68915,9574.238
-39.182003,148.67255,9579.721
-39.03427,148.7004,9623.55
-39.22744,148.67134,9571.197
-39.27805,148.63385,9562.348
-39.25758,148.56929,9576.34
-39.34574,148.72812,9561.494
-39.29726,148.55933,9555.47
-39.348137,148.5503,9559.314
-39.379227,148.62936,9563.432
-39.394394,148.54001,9560.574
-39.33964,148.61708,9580.298
-39.513298,148.50603,9540.138
-39.41846,148.50163,9566.511
-39.41266,148.6108,9573.217
-39.570854,148.39377,9536.065
-39.512993,148.57559,9552.515
-39.472034,148.4464,9574.678
-39.60578,148.41592,9548.503
-39.567207,148.5031,9564.071
-39.615627,148.46074,9559.749
-39.601387,148.3656,9565.114
-39.64982,148.47035,9556.827
-39.683666,148.38997,9555.125
-39.654316,148.36693,9562.874
-39.706608,148.38567,9557.634
-39.756493,148.33598,9547.835
-39.653885,148.38388,9574.584
-39.79999,148.27667,9546.181
-39.58872,148.43335,9596.644
-39.925217,148.25377,9533.357
-39.78096,148.24797,9572.382
-39.866177,148.3248,9543.427
-39.88739,148.27728,9552.32
-39.89195,148.2847,9558.715
-39.971996,148.21075,9544.36
-39.862476,148.27986,9566.271
-40.02717,148.17383,9538.006
-39.99761,148.18774,9550.79
-39.88429,148.25821,9573.436
-40.098,148.17099,9527.871
-40.048813,148.12163,9554.41
-40.067932,148.23848,9535.614
-40.07792,148.08907,9540.197
-40.12201,148.12355,9532.382
-40.125114,148.1445,9534.709
-40.15843,148.05489,9542.602
-40.173492,148.09467,9550.396
-40.147076,148.1068,9557.942
-40.198795,148.04529,9549.511
-40.274727,148.03777,9538.704
-40.24992,148.0613,9543.209
-40.077724,148.00604,9572.825
-40.35535,147.97131,9522.861
-40.340458,148.03412,9534.875
-40.2942,147.97873,9549.008
-40.38104,147.95578,9527.892
-40.428955,147.96008,9538.154
-40.338314,147.96165,9559.062
-40.322315,147.93802,9568.683
-40.412373,147.90457,9539.845
-40.535904,147.8955,9521.637
-40.446636,147.89162,9531.999
-40.535748,147.88362,9527.988
-40.56193,147.85835,9525.296
-40.399273,147.83075,9546.675
-40.670597,147.96553,9544.271
-40.44709,147.9465,9560.766
-40.672745,147.68933,9499.631
-40.620712,147.75212,9521.045
-40.65049,147.763,9516.387
-40.70207,147.732,9514.27
-40.684746,147.7615,9527.723
-40.73793,147.74464,9515.046
-40.79026,147.73286,9516.34
