Latitude,Longitude,Altitude (m)
-37.590744,148.94963,9583.572
-37.613182,148.93971,9585.885
-37.629818,148.95074,9590.597
-37.635525,149.01277,9592.552
-37.56971,149.3433,9624.709
-37.66019,148.94193,9593.586
-37.698742,148.88814,9584.841
-37.746696,148.85703,9590.83
-37.74334,148.88242,9582.621
-37.75599,148.88615,9585.199
-37.783455,148.87434,9587.832
-37.80163,148.85013,9587.909
-37.824177,148.81944,9593.117
-37.846333,148.78769,9585.894
-37.863853,148.81827,9592.689
-37.88305,148.76755,9592.814
-37.950882,148.59416,9567.016
-37.923264,148.61406,9589.032
-37.950478,148.74635,9584.516
-37.968586,148.74854,9586.244
-37.972168,148.8237,9593.712
-38.03478,148.91463,9593.574
-38.030987,148.68954,9579.073
-38.039352,148.63843,9577.384
-38.076176,148.68028,9580.368
-37.998295,149.07906,9606.753
-38.110485,148.65134,9574.95
-38.142387,148.59254,9572.124
-38.167763,148.57843,9569.067
-38.176735,148.61633,9566.39
-38.202427,148.55325,9570.57
-38.207973,148.4755,9566.522
-38.238712,148.5816,9562.146
-38.262745,148.53625,9564.563
-38.281223,148.52144,9564.082
-38.295883,148.528,9566.176
-38.317135,148.55905,9560.409
-38.322372,148.76376,9572.709
-38.35912,148.51796,9553.8125
-38.34895,148.623,9563.984
-38.413357,148.521,9536.146
-38.416992,148.47647,9560.377
-38.291138,148.43054,9510.276
-38.392647,148.51147,9540.523
-38.417923,148.51512,9540.022
-38.44135,148.50702,9529.73
-38.46105,148.47723,9533.675
-38.485165,148.47968,9531.476
-38.507835,148.46718,9526.179
-38.52809,148.44469,9528.129
-38.550213,148.43439,9527.777
-38.57243,148.42235,9527.701
-38.598816,148.38472,9528.801
-38.620296,148.379,9528.959
-38.640945,148.37436,9525.462
-38.74429,147.97478,9493.165
-38.68431,148.33504,9529.649
-38.70856,148.33527,9516.687
-38.74843,148.2026,9510.953
-38.748398,148.30037,9520.472
-38.75455,148.36862,9524.831
-38.772747,148.36145,9532.8
-38.814095,148.27391,9519.7295
-38.836853,148.23169,9523.899
-38.858772,148.24002,9523.904
-38.851105,148.3109,9527.133
-38.89458,148.2033,9529.464
-38.91617,148.20712,9515.267
-38.930626,148.16985,9529.68
-38.984394,148.04442,9516.471
-38.97739,148.1709,9525.341
-39.00193,148.13142,9526.074
-39.016884,148.14334,9530.585
-39.03956,148.14714,9524.931
-39.058796,148.11969,9526.733
-39.070656,148.0538,9525.62
-39.10451,148.08754,9524.043
-39.13397,148.02611,9518.02
-39.17085,147.87062,9506.355
-39.162502,148.05753,9521.442
-39.181118,148.06595,9512.799
-39.201252,148.02623,9519.361
-39.22251,148.02191,9520.155
-39.248863,148.02328,9513.934
-39.26673,148.00053,9517.108
-39.341686,147.67784,9493.027
-39.214035,148.4223,9550.676
-39.328663,147.9647,9509.574
-39.35856,147.89415,9507.694
-39.340317,148.09985,9524.472
-39.39347,147.92455,9508.58
-39.44796,147.7172,9494.824
-39.473175,147.68011,9497.235
-39.454834,147.8923,9505.999
-39.47729,147.84583,9503.484
-39.494713,147.82939,9507.6
-39.515194,147.84839,9506.899
-39.51934,147.89128,9515.056
-39.5009,148.1371,9533.576
-39.58107,147.82278,9506.976
-39.613277,147.73793,9502.281
-39.58007,148.02574,9524.158
-39.641087,147.80678,9504.605
-39.664387,147.75923,9499.659
-39.677975,147.77907,9503.565
-39.725845,147.63702,9493.223
-39.747375,147.63281,9490.724
-39.717354,147.70258,9485.864
-39.746666,147.7179,9491.469
-39.77013,147.71178,9488.403
-39.792442,147.69827,9487.228
-39.81431,147.68326,9485.879
-39.836323,147.66866,9485.379
-39.85883,147.65608,9480.7
-39.879303,147.63657,9481.8125
-39.901432,147.62625,9483.231
-39.925365,147.61943,9473.365
-39.94458,147.59541,9483.638
-39.969776,147.59743,9476.699
-39.989124,147.57045,9478.712
-40.011604,147.5622,9481.358
-40.03404,147.55164,9478.665
-40.056263,147.53596,9479.644
-40.037632,147.75128,9497.399
-40.098347,147.51447,9476.547
-40.07879,147.80011,9499.6
-40.141758,147.4881,9473.362
-40.16242,147.46921,9474.719
-40.18529,147.46353,9471.612
-40.20055,147.48065,9475.068
-40.216576,147.50793,9478.629
-40.25253,147.423,9470.879
-40.261387,147.48933,9473.103
-40.29127,147.39789,9475.651
-40.330982,147.30748,9469.349
-40.32507,147.4424,9480.205
-40.450367,146.84186,9430.3955
-40.37947,147.34943,9472.029
-40.370487,147.5059,9481.649
-40.41451,147.38104,9471.45
-40.443874,147.31711,9468.178
-40.453663,147.37563,9472.649
-40.515045,147.1478,9452.199
-40.5116,147.26593,9457.651
-40.5004,147.43936,9470.806
-40.552826,147.25296,9457.177
-40.56691,147.28065,9461.893
-40.611828,147.14911,9452.598
-40.572773,147.47726,9477.554
-40.637794,147.20055,9457.554
-40.695515,146.97609,9440.205
-40.599247,147.58466,9489.355
-40.70233,147.15514,9455.421
-40.722828,147.1567,9453.584
-40.74027,147.16217,9456.035
-40.767277,147.12569,9452.626
-40.6906,147.64883,9493.258
-40.806915,147.10155,9452.504
-40.802135,147.24501,9462.759
-40.850086,147.06422,9448.977
-40.85981,147.09619,9454.942
-40.892796,147.04384,9447.003
-40.9169,147.0139,9442.037
-40.93438,147.01486,9447.211
-40.955074,147.02332,9449.44
-40.91813,147.34845,9468.266
-40.99913,146.98175,9441.951
-41.00321,147.07202,9446.0205
-41.048004,146.91478,9435.644
-41.061794,146.95248,9434.16
-41.096107,146.8437,9426.821
-41.101387,146.91808,9435.092
-41.125767,146.88976,9433.347
-41.243652,146.33362,9387.507
-41.164673,146.87314,9435.424
-41.165672,146.98863,9436.74
-41.26763,146.47044,9405.256
-41.182377,147.07089,9446.513
-41.24933,146.82033,9428.719
-41.277412,146.78348,9423.3125
-41.292133,146.79625,9422.329
-41.311703,146.78944,9421.163
-41.32691,146.8014,9429.422
-41.321255,147.11914,9441.903
-41.366386,146.79214,9428.342
-41.391354,146.76689,9425.287
-41.412064,146.7539,9427.679
-41.434467,146.74446,9425.637
-41.45562,146.72992,9425.87
-41.47791,146.71603,9424.296
-41.499428,146.69789,9422.944
-41.52108,146.68279,9422.441
-41.542835,146.66873,9419.903
-41.563942,146.6568,9418.534
-41.58589,146.64781,9416.712
-41.60809,146.62985,9414.833
-41.6294,146.6093,9415.652
-41.651337,146.59225,9413.343
-41.672207,146.57861,9410.096
-41.62798,146.90776,9437.172
-41.713676,146.56952,9408.09
-41.733208,146.56017,9405.427
-41.755623,146.53612,9404.106
-41.786625,146.46593,9401.249
-41.799133,146.49986,9407.047
-41.80656,146.55891,9411.276
-41.824562,146.55707,9411.374
-41.8599,146.45587,9404.329
-41.83889,146.68114,9420.944
-41.90023,146.43059,9402.886
-41.90739,146.49913,9406.976
-41.940296,146.41791,9397.2295
-41.959057,146.41257,9401.489
-41.998848,146.29001,9394.071
-42.000862,146.37086,9403.306
-42.02287,146.34375,9404.025
-42.055836,146.26413,9397.968
-42.065533,146.31073,9404.242
-42.086365,146.29208,9398.503
