Latitude,Longitude,Altitude (m)
-38.026596,149.29486,9579.769
-38.007656,149.28001,9592.253
-37.948864,149.26443,9618.51
-37.862495,149.24571,9656.129
-38.204994,149.25429,9554.275
-38.06785,149.2331,9605.239
-38.1645,149.22942,9578.027
-38.161156,149.19951,9588.666
-38.160023,149.20673,9593.946
-38.192047,149.18973,9588.265
-38.19917,149.16869,9592.669
-38.15217,149.15628,9615.008
-38.01904,149.12616,9669.203
-38.410534,149.13612,9549.593
-38.236607,149.1154,9614.894
-38.38023,149.09476,9577.929
-38.32589,149.0976,9600.939
-38.386612,149.06671,9591.3125
-38.394394,149.0663,9594.501
-38.40085,149.05144,9598.849
-38.408066,149.0368,9605.637
-38.37688,149.0268,9623.805
-38.311653,149.01508,9651.405
-38.513462,148.98598,9593.886
-38.57242,148.99287,9581.973
-38.505215,148.99266,9611.43
-38.55681,148.9569,9598.259
-38.600246,148.93909,9587.97
-38.60203,148.944,9596.741
-38.513634,148.94565,9631.443
-38.44356,148.90266,9661.701
-38.79467,148.88545,9549.556
-38.66884,148.89919,9597.3545
-38.73553,148.8709,9583.245
-38.750565,148.8543,9587.237
-38.766903,148.83511,9588.908
-38.785942,148.83818,9588.057
-38.814503,148.82625,9585.685
-38.823082,148.82938,9587.44
-38.820087,148.80032,9591.199
-38.798195,148.76643,9606.894
-38.754604,148.77798,9633.13
-38.85457,148.78761,9609.327
-38.984417,148.70538,9571.314
-38.95289,148.71387,9588.974
-38.946217,148.75127,9602.241
-38.908524,148.68391,9615.774
-38.92484,148.70619,9619.427
-39.030396,148.70471,9590.734
-39.07535,148.65367,9578.777
-39.0666,148.65933,9590.764
-38.999737,148.65785,9619.076
-38.95973,148.65639,9640.814
-39.2583,148.60144,9549.956
-39.13672,148.61171,9595.186
-39.21457,148.58707,9575.16
-39.233402,148.56615,9573.525
-39.233242,148.59933,9582.787
-39.217693,148.53769,9584.05
-39.23732,148.56848,9588.568
-39.204712,148.54439,9602.8
-39.202286,148.54265,9612.72
-39.386295,148.5071,9559.425
-39.39058,148.47482,9562.983
-39.366814,148.49611,9579.343
-39.360134,148.49223,9587.619
-39.31979,148.4703,9605.52
-39.378128,148.4849,9592.472
-39.4823,148.41602,9565.226
-39.521492,148.39066,9558.662
-39.515797,148.4233,9571.691
-39.443707,148.40594,9602.505
-39.344257,148.4325,9644.426
-39.706116,148.32797,9528.572
-39.544727,148.37517,9591.141
-39.6714,148.31122,9550.824
-39.629566,148.3322,9575.652
-39.68015,148.30899,9562.417
-39.694336,148.29059,9562.465
-39.691414,148.30432,9570.678
-39.70831,148.27081,9569.175
-39.67756,148.30064,9592.907
-39.647125,148.27373,9608.1875
-39.775784,148.22932,9567.983
-39.857445,148.21278,9551.182
-39.82964,148.22215,9570.46
-39.794086,148.22955,9588.454
-39.766815,148.21681,9601.217
-39.847168,148.1895,9581.552
-39.96867,148.1314,9544.91
-39.954712,148.12657,9554.467
-39.911537,148.1561,9578.164
-39.877018,148.17802,9599.548
-39.969486,148.12827,9571.348
-40.059746,148.10143,9543.347
-40.066303,148.08817,9544.934
-40.045265,148.07959,9558.944
-39.949,148.11807,9602.581
-40.024094,148.0791,9585.479
-40.214066,147.97362,9525.678
-40.115067,148.0256,9570.891
-40.21919,147.96974,9541.658
-40.189247,147.9993,9557.669
-40.22442,147.98,9550.746
-40.242676,147.96884,9549.328
-40.24857,147.96204,9554.81
-40.220215,147.98196,9572.7295
-40.1676,148.00926,9597.814
-40.341923,147.89413,9544.043
-40.39377,147.8667,9534.986
-40.34046,147.91757,9562.652
-40.39098,147.89827,9553.507
-40.41572,147.88332,9550.639
-40.404716,147.89415,9558.58
-40.345066,147.90787,9583.135
-40.415085,147.86119,9565.882
-40.573494,147.7823,9514.74
-40.508083,147.7884,9540.981
-40.543266,147.85928,9545.309
-40.529976,147.79092,9549.472
-40.526264,147.79292,9557.724
-40.55102,147.85211,9563.578
-40.570686,147.75165,9555.137
-40.646168,147.73582,9539.514
-40.670467,147.71628,9536.375
-40.63866,147.73277,9553.816
-40.5821,147.83397,9586.497
-40.722305,147.60268,9528.248
-40.821987,147.6765,9513.764
-40.736717,147.60764,9537.8955
-40.83182,147.63416,9519.998
-40.827774,147.59596,9523.362
-40.816124,147.64523,9537.733
-40.803684,147.6562,9551.005
-40.80143,147.47575,9545.461
-40.890083,147.66295,9551.872
-40.90676,147.71384,9558.545
-40.879578,147.48384,9549.742
-40.93531,147.52786,9544.757
-40.97419,147.6267,9550.463
-40.950634,147.5482,9556.202
-40.957466,147.44128,9550.01
-41.048992,147.47588,9534.649
-41.09996,147.63129,9540.862
-41.06219,147.63559,9555.945
-41.017628,147.24223,9534.502
-41.155575,147.47188,9527.157
-41.168045,147.4053,9525.592
-41.14552,147.41212,9538.12
-41.136353,147.60127,9561.91
-41.17084,147.32758,9529.435
-41.292297,147.27866,9497.258
-41.290634,147.38765,9514.582
-41.24528,147.28548,9524.185
-41.207092,147.26535,9540.467
-41.279625,147.3391,9536.703
-41.41348,147.54149,9526.843
-41.35155,147.33476,9529.721
-41.360832,147.15707,9515.931
-41.427162,147.33363,9520.211
-41.384403,147.35922,9540.178
-41.34963,147.24973,9543.407
-41.503464,147.1585,9495.68
-41.5336,147.14006,9495.196
-41.48439,147.07341,9514.279
-41.47824,147.02867,9521.153
-41.532516,147.35431,9544.463
-41.59547,147.42853,9541.7295
-41.58571,146.7837,9489.882
-41.617104,147.17165,9520.565
-41.553394,146.88792,9513.834
-41.587814,147.06802,9527.4375
-41.709427,146.98453,9492.886
-41.733646,146.95265,9488.0205
-41.706078,147.00081,9510.909
-41.672977,147.0163,9523.547
-41.697353,147.03984,9531.373
-41.8168,146.93074,9494.826
-41.82833,146.8367,9491.074
-41.7885,146.77467,9502.792
-41.767372,146.8066,9514.62
-41.84056,147.11887,9527.015
-41.921955,147.2129,9524.234
-41.914474,146.59288,9472.2295
-41.961998,146.92793,9498.381
-41.91466,146.72359,9499.556
-41.900684,146.82457,9518.566
-41.918015,146.74664,9514.234
-42.026176,146.78766,9495.519
-42.048172,146.67422,9484.792
-42.04516,146.75404,9497.836
-41.98117,146.82088,9525.765
-42.008854,146.78546,9520.586
-42.202145,146.60919,9459.681
-42.109985,146.61237,9490.561
-42.171066,146.65314,9481.245
-42.19861,146.61244,9474.706
-42.176167,146.53477,9478.652
-42.172527,146.54796,9485.986
-42.208492,146.90651,9514.644
-42.296124,146.92857,9500.695
-42.32584,146.6152,9468.799
-42.260788,146.26135,9458.555
-42.29596,146.51843,9478.402
-42.321667,146.52083,9480.216
-42.32345,146.4023,9476.724
-42.322758,146.4256,9483.415
-42.34135,146.43288,9485.299
-42.404987,146.40334,9470.8955
-42.44513,146.39241,9466.749
-42.433125,146.3756,9478.375
-42.379635,146.37804,9499.472
-42.451702,146.38225,9488.373
-42.596485,146.29039,9449.721
-42.54662,146.31999,9471.517
-42.54804,146.3959,9484.125
-42.57406,146.3383,9477.502
-42.589794,146.31453,9476.272
-42.578312,146.32188,9485.271
-42.56566,146.56976,9514.781
-42.68618,146.09366,9450.833
-42.68717,146.06877,9454.999
-42.661068,146.18726,9477.329
-42.702175,146.03105,9458.588
-42.7189,145.91634,9453.158
-42.760933,146.3546,9483.9
-42.753536,145.99084,9463.789
-42.772545,146.18138,9478.453
-42.773182,146.23116,9489.279
-42.82039,146.22789,9487.205
-42.901257,146.16466,9467.228
-42.91523,146.07866,9460.975
-42.84836,145.7332,9454.463
-42.820763,145.88889,9484.09
-42.98239,146.42683,9489.091
-42.928272,145.9152,9469.575
-43.046787,145.99867,9450.087
-43.010555,145.90215,9457.94
-43.02344,146.0663,9477.124
-42.973557,146.213,9508.507
-43.084953,145.82384,9455.269
-43.14722,145.80153,9444.477
-43.100536,145.90265,9470.311
-43.147472,145.82376,9450.136
-43.16901,145.81818,9447.743
-43.15587,145.90933,9465.206
-43.14285,145.97041,9477.795
-43.213425,145.89421,9457.601
-43.28034,145.74876,9427.733
-43.223175,145.51779,9432.029
-43.15333,145.16394,9430.322
-43.36297,145.96262,9435.461
-43.316944,145.86914,9444.407
-43.290092,145.71532,9443.893
-43.35254,145.81712,9442.087
-43.3592,145.77283,9446.195
-43.36776,145.7004,9449.8
-43.42051,145.70102,9441.273
-43.425022,145.68407,9441.422
-43.439022,145.74129,9446.75
-43.445797,145.75533,9450.922
-43.4798,145.67798,9441.194
-43.55008,145.53226,9413.261
-43.563984,145.51802,9410.792
-43.551254,145.5977,9423.189
-43.503716,145.836,9454.926
-43.580666,145.56453,9418.036
-43.677704,145.35802,9382.419
-43.62776,145.53563,9414.578
-43.68392,145.31906,9391.34
-43.67696,145.41669,9402.957
-43.685368,145.38959,9401.58
-43.690445,145.27684,9393.63
-43.6908,145.24472,9392.879
-43.745728,145.2794,9385.078
-43.795815,145.45975,9390.469
-43.750134,145.79607,9433.828
-43.781097,145.30948,9395.838
-43.894756,145.53102,9388.361
-43.857567,145.03857,9375.1455
-43.906082,145.40266,9393.981
-43.9176,145.17241,9381.714
-43.913395,145.2178,9389.964
-43.908367,145.20345,9396.805
-43.91571,145.13628,9397.946
-43.972294,145.1807,9392.611
