Date,Time,Latitude,Longitude,Altitude (m),Altitude (ft)
2020-03-14,02:48:26,-33.93461599823942,151.1691130005728,23.000517626293004,75.46101824904714
2020-03-14,02:48:36,-33.93480902632807,151.1691742417818,22.34918726590794,73.32410754948141
2020-03-14,02:48:46,-33.935003106791086,151.1693199455222,22.013882136484067,72.2240250686624
2020-03-14,02:48:56,-33.93509777745913,151.1696073365509,19.578908421590544,64.23526590589114
2020-03-14,02:49:06,-33.93510088072943,151.1699980949685,17.46258527549959,57.29194827527007
2020-03-14,02:49:16,-33.93503797195038,151.17042441198578,14.878286869473818,48.81327869284448
2020-03-14,02:49:26,-33.93491428589863,151.17085275395115,13.18283485998677,43.250771922039
2020-03-14,02:49:36,-33.93452673235362,151.1709659696029,10.064199483643028,33.0190282339154
2020-03-14,02:49:46,-33.934117977706876,151.17087372373288,10.690218791355226,35.07289741942989
2020-03-14,02:49:56,-33.93371936807157,151.1708005534733,11.785875019421152,38.66757019871769
2020-03-14,02:50:06,-33.93335968480299,151.17058807983756,11.249698100196005,36.90845951504706
2020-03-14,02:50:16,-33.93306256871641,151.17030210319135,13.130034296086675,43.07754171997301
2020-03-14,02:50:26,-33.93285521143884,151.17001334568047,12.383277168987403,40.62755106710064
2020-03-14,02:50:36,-33.932631721609816,151.1697378392659,9.119512023842937,29.91965982830487
2020-03-14,02:50:46,-33.93218572222534,151.1695558526958,7.640494007439677,25.0672383593684
2020-03-14,02:50:56,-33.93162189391079,151.16943500886916,13.521377153866275,44.361475021490634
2020-03-14,02:51:06,-33.931046297100046,151.1692971588925,17.784781027239397,58.349020985408096
2020-03-14,02:51:16,-33.930542449492506,151.16918369954575,19.90886289702386,65.31779374707175
2020-03-14,02:51:26,-33.93012817237595,151.16918773410492,19.379878121175512,63.582279335077466
2020-03-14,02:51:36,-33.92984715198114,151.16947979837047,13.981476655566745,45.87098787064959
2020-03-14,02:51:46,-33.929776512643585,151.16983673200136,7.859109120611609,25.78447956726739
2020-03-14,02:51:56,-33.929731040369475,151.17030500275828,7.4144426986328495,24.32560018338259
2020-03-14,02:52:06,-33.92964411608635,151.17077021072475,8.419819971724909,27.624082156033953
2020-03-14,02:52:16,-33.92961094293104,151.17119555296028,8.991289616358875,29.498982624934857
2020-03-14,02:52:26,-33.92975829074402,151.17156249870402,7.631048984518257,25.03625075036688
2020-03-14,02:52:36,-33.930032046629364,151.17173155513535,8.809846830695463,28.903697876018903
2020-03-14,02:52:46,-33.93032317546001,151.17184495498805,7.419480907586753,24.34212974084692
2020-03-14,02:52:56,-33.9308618350731,151.17201952367,5.625689599939718,18.456987467066224
2020-03-14,02:53:06,-33.93266384317728,151.17242085378354,9.69259733862821,31.799861052464976
2020-03-14,02:53:16,-33.93607751297874,151.17325960712185,12.85874893889646,42.187497868689064
2020-03-14,02:53:26,-33.94087302970285,151.17446753443747,15.62469407088391,51.26212129551876
2020-03-14,02:53:36,-33.946920582784244,151.17602341445422,22.117933762977167,72.565401806926
2020-03-14,02:53:46,-33.954008005871515,151.17786261003195,34.00983950782194,111.5808418508425
2020-03-14,02:53:56,-33.9615407527813,151.17984135136396,95.3687027722748,312.88945480339004
2020-03-14,02:54:06,-33.96908821146614,151.18190654525776,171.27766316490738,561.9346084179546
2020-03-14,02:54:16,-33.97659341143691,151.1840695666925,248.5855908259967,815.569549805563
2020-03-14,02:54:26,-33.98420335723187,151.18437449488243,323.4320845537888,1061.1289202874527
2020-03-14,02:54:36,-33.991795625608184,151.1828305530069,387.5629594785941,1271.5320599757508
2020-03-14,02:54:46,-33.999693283730736,151.18109751896878,413.7168513493321,1357.3387945809427
2020-03-14,02:54:56,-34.00805047065748,151.17929025174553,453.3186325448863,1487.2659023985648
2020-03-14,02:55:06,-34.01679493278649,151.17739671447382,485.6171247566105,1593.232087586478
2020-03-14,02:55:16,-34.02604030948755,151.17575733354826,510.71259904508634,1675.566323451081
