Date,Time,Latitude,Longitude,Altitude (m)
2019-01-31,11:21:56,-22.583526999271022,-47.0198549975685,6536.4995920062065
2019-01-31,11:22:06,-22.57003287805562,-47.03779968208041,6607.351152742276
2019-01-31,11:22:16,-22.555230029059285,-47.05451456696961,6697.675883121742
2019-01-31,11:22:26,-22.53887297827255,-47.06940430438485,6841.974085038035
2019-01-31,11:22:36,-22.521795426889653,-47.082997368479,6975.817622083914
2019-01-31,11:22:46,-22.504026116388257,-47.09525512700576,7089.411455414073
2019-01-31,11:22:56,-22.485672104593473,-47.10665171917074,7145.137190127869
2019-01-31,11:23:06,-22.46679943088894,-47.117363772296585,7187.673801503656
2019-01-31,11:23:16,-22.447424853722623,-47.12753745423418,7224.37623474912
2019-01-31,11:23:26,-22.427691653371596,-47.1373390666873,7268.858430034945
2019-01-31,11:23:36,-22.407671335869903,-47.14684745067976,7321.865117274595
2019-01-31,11:23:46,-22.38747975779676,-47.1562725662864,7374.842125512662
2019-01-31,11:23:56,-22.367252808750408,-47.16590574158049,7441.232380858565
2019-01-31,11:24:06,-22.347559827622856,-47.176658874350906,7538.718415195444
2019-01-31,11:24:16,-22.328918750848636,-47.18947339364346,7623.204555911891
2019-01-31,11:24:26,-22.311770013662553,-47.20465940831715,7694.262834368374
2019-01-31,11:24:36,-22.295966651759553,-47.22148330086582,7767.369413958964
2019-01-31,11:24:46,-22.2802127400016,-47.238519950123525,7833.074202956662
2019-01-31,11:24:56,-22.264177226230583,-47.25535734051135,7895.563126864322
2019-01-31,11:25:06,-22.247883381806083,-47.27199952231213,7952.167017407379
2019-01-31,11:25:16,-22.231408534695415,-47.28861376371214,8002.456543034384
2019-01-31,11:25:26,-22.214760562027323,-47.30517086015213,8050.602771986003
2019-01-31,11:25:36,-22.19794498408445,-47.32177145487718,8091.231758687867
2019-01-31,11:25:46,-22.181048176706742,-47.338520878967856,8130.58654107034
2019-01-31,11:25:56,-22.164193024961357,-47.355460974293386,8178.712463754184
2019-01-31,11:26:06,-22.14734935379044,-47.37255063572283,8231.164286738463
2019-01-31,11:26:16,-22.130444922602923,-47.38971599225016,8281.589438239138
2019-01-31,11:26:26,-22.11343907421173,-47.4068864194474,8330.671260186655
2019-01-31,11:26:36,-22.09634732812733,-47.42399085646769,8403.55498278361
2019-01-31,11:26:46,-22.079227002719552,-47.44092900377914,8493.900543930009
2019-01-31,11:26:56,-22.06213800385172,-47.45783199945763,8572.3000435289
2019-01-31,11:27:06,-22.04506099749927,-47.47480000031429,8626.399768363684
2019-01-31,11:27:16,-22.027924997834223,-47.4918020021223,8674.500056325458
2019-01-31,11:27:26,-22.01074199815529,-47.50886900159263,8722.599729370326
2019-01-31,11:27:36,-21.9935419958493,-47.52603099964675,8768.499966562726
2019-01-31,11:27:46,-21.97632399672267,-47.543289003028825,8816.999780440703
2019-01-31,11:27:56,-21.959108001104603,-47.560612000963125,8863.69983457867
2019-01-31,11:28:06,-21.941861999081965,-47.57795300060921,8913.999540092425
2019-01-31,11:28:16,-21.924550957552515,-47.59535316879336,8957.276309721787
2019-01-31,11:28:26,-21.90716807169591,-47.61273445472453,9001.312696989466
2019-01-31,11:28:36,-21.889687231171298,-47.63010700797933,9040.990484295276
2019-01-31,11:28:46,-21.8721023169147,-47.647498977349365,9079.681760599466
2019-01-31,11:28:56,-21.85445972990099,-47.66495224421159,9093.48922374136
2019-01-31,11:29:06,-21.836731357829027,-47.68244677121075,9098.898185708864
2019-01-31,11:29:16,-21.818989867289556,-47.6999375559254,9104.948962432052
2019-01-31,11:29:26,-21.801308537492844,-47.717401420669695,9115.495105982667
2019-01-31,11:29:36,-21.783648128933788,-47.73486078726734,9135.70072507538
2019-01-31,11:29:46,-21.76593810590603,-47.75234673755432,9179.054938909308
2019-01-31,11:29:56,-21.74818736236293,-47.769826123752566,9226.031741779812
2019-01-31,11:30:06,-21.730447117430508,-47.787367353614464,9264.747190677916
