Date,Time,Latitude,Longitude,Altitude (m),Altitude (ft)
2019-01-26,03:15:37,-53.879241998859385,108.49096699464505,8699.799637335353,28542.650642155317
2019-01-26,03:15:43,-53.88955300188154,108.48657999698523,8698.098951062188,28537.070962602866
2019-01-26,03:15:48,-53.898131996363915,108.48289499355063,8698.499776278622,28538.386006005956
2019-01-26,03:15:53,-53.906714995757625,108.47917900583016,8699.099647307768,28540.35408687322
2019-01-26,03:15:58,-53.91530199920611,108.47544900547746,8698.000614766963,28536.74833695204
2019-01-26,03:16:03,-53.923893000198625,108.47176400181934,8697.400121573359,28534.778214862738
2019-01-26,03:16:08,-53.93247999933373,108.46807100538105,8696.79954039678,28532.80780411537
2019-01-26,03:16:13,-53.941055000832264,108.46435500558275,8695.500480881892,28528.545797696548
2019-01-26,03:16:18,-53.949614997325476,108.46059399253812,8693.400249706581,28521.65527524734
2019-01-26,03:16:23,-53.95816000228775,108.45681800358344,8692.200255465694,28517.718286142066
2019-01-26,03:16:28,-53.96674700312348,108.4531399970123,8693.199928918853,28520.99805479413
2019-01-26,03:16:33,-53.97532299810979,108.44944000086248,8696.700278755277,28532.482142551464
2019-01-26,03:16:38,-53.98389100517761,108.44569400320394,8696.500072696246,28531.82529850475
2019-01-26,03:16:43,-53.99247400113634,108.44200100244697,8697.599839813076,28535.43345845233
2019-01-26,03:16:48,-54.00109900234515,108.43837700121287,8699.599598550238,28541.994346907562
2019-01-26,03:16:53,-54.00974300382109,108.43486000423148,8704.59946385771,28558.39810500293
2019-01-26,03:16:58,-54.01840200148994,108.43140400222441,8708.400485916063,28570.868650212855
2019-01-26,03:17:03,-54.02705000041148,108.42790999951059,8711.900782759301,28582.352564108027
2019-01-26,03:17:09,-54.037327002337186,108.42343099447399,8708.200251130387,28570.21171191862
2019-01-26,03:17:14,-54.04590199848262,108.41970799251968,8704.799390279688,28559.05403160521
2019-01-26,03:17:19,-54.054454998044704,108.41596199915179,8701.099316821434,28546.914682600433
2019-01-26,03:17:24,-54.063004002340676,108.41220100799137,8697.499783514068,28535.105189744292
2019-01-26,03:17:29,-54.0715680000411,108.40848500245738,8695.700020253658,28529.200454449012
2019-01-26,03:17:34,-54.08016600048907,108.40489999748371,8696.799224802293,28532.806768700353
2019-01-26,03:17:39,-54.08872200041728,108.40116899491846,8694.19957197085,28524.277723704843
2019-01-26,03:17:44,-54.09728600369991,108.39749900622233,8693.599751967005,28522.30981024343
2019-01-26,03:17:49,-54.10585399743368,108.39379099356684,8694.299902417697,28524.606891848078
2019-01-26,03:17:54,-54.11441799709308,108.39007599223052,8696.099440557882,28530.510888559922
2019-01-26,03:17:59,-54.122985996764896,108.38638300660087,8695.999869232066,28530.184210971333
2019-01-26,03:18:04,-54.131564994922506,108.38272899628956,8694.900320807472,28526.576768517985
2019-01-26,03:18:09,-54.14011799652849,108.37898300183377,8691.299474642612,28514.76296838647
2019-01-26,03:18:14,-54.14866600223219,108.37522099538054,8688.799499277957,28506.560949211093
2019-01-26,03:18:19,-54.15722999892442,108.37150600002579,8689.10004221648,28507.546982505515
2019-01-26,03:18:24,-54.16580199594076,108.36778300670429,8687.599406204186,28502.62363585094
2019-01-26,03:18:30,-54.176067001339575,108.36325099403959,8685.299823246896,28495.079072101347
2019-01-26,03:18:35,-54.184624001973404,108.35946699932114,8684.999888287857,28494.095033490332
2019-01-26,03:18:40,-54.19318400346975,108.35568199913838,8687.400436526164,28501.970848172503
2019-01-26,03:18:45,-54.201759001606156,108.35194400510412,8690.900319791399,28513.453405184413
2019-01-26,03:18:50,-54.21034199973325,108.34822100631341,8694.400375614874,28524.936528332302
