Date,Time,Latitude,Longitude,Altitude (m)
2019-01-29,01:27:21,-35.58863575549914,150.3397426824535,8643.465836952875
2019-01-29,01:27:31,-35.6126138566127,150.33250012649825,8686.58882157459
2019-01-29,01:27:41,-35.636635873825135,150.3251821558562,8722.532151866735
2019-01-29,01:27:51,-35.66071778437132,150.31784293152717,8767.189418154543
2019-01-29,01:28:01,-35.68479030793288,150.31051468094023,8826.566959290212
2019-01-29,01:28:11,-35.70884067372717,150.3032069330588,8892.380929509498
2019-01-29,01:28:21,-35.732852621722174,150.29587831351438,8953.862836415155
2019-01-29,01:28:31,-35.75688178744163,150.2886094399186,9014.053485490158
2019-01-29,01:28:41,-35.78086004768777,150.28130649060515,9072.314834619205
2019-01-29,01:28:51,-35.804836743470275,150.27403826867868,9119.792202829873
2019-01-29,01:29:01,-35.82885213163666,150.2667870719474,9164.364830106342
2019-01-29,01:29:11,-35.85287565109597,150.25948875329402,9209.525111430536
2019-01-29,01:29:21,-35.87688827947929,150.25217687507546,9262.290042842476
2019-01-29,01:29:31,-35.90086625148928,150.244869953408,9328.362766893446
2019-01-29,01:29:41,-35.92477717976837,150.23755551708348,9393.320736083497
2019-01-29,01:29:51,-35.94865547749414,150.2302842235443,9452.764480713184
2019-01-29,01:30:01,-35.972479494843455,150.22303624877037,9513.709108063566
2019-01-29,01:30:11,-35.99625038295213,150.21580424120424,9578.948610838275
2019-01-29,01:30:21,-36.02000339406669,150.20859806894055,9614.10261217288
2019-01-29,01:30:31,-36.0437550007155,150.20133494660314,9621.514036610864
2019-01-29,01:30:41,-36.06752803188071,150.19408792980678,9621.344344280911
2019-01-29,01:30:51,-36.091293144848656,150.1868170189594,9618.18857882216
2019-01-29,01:31:01,-36.1150594292957,150.17954101551746,9613.685416772343
2019-01-29,01:31:11,-36.13886232939737,150.17233405559466,9610.780739852482
2019-01-29,01:31:21,-36.162652375858485,150.16512264542558,9609.816994355007
2019-01-29,01:31:31,-36.18641653963309,150.15791147854512,9606.626773849195
2019-01-29,01:31:41,-36.21016709492579,150.15065305809748,9603.6377621476
2019-01-29,01:31:51,-36.233890411471855,150.14331595285356,9603.702077373564
2019-01-29,01:32:01,-36.25760474798976,150.1359935358123,9604.205301993996
2019-01-29,01:32:11,-36.28132304070453,150.12871077426828,9602.247511089545
2019-01-29,01:32:21,-36.30503027199332,150.12143155069035,9600.70116290948
2019-01-29,01:32:31,-36.32873151746231,150.1141582216984,9599.466113762095
2019-01-29,01:32:41,-36.35244299422277,150.10689781028677,9597.980570902364
2019-01-29,01:32:51,-36.37613556695039,150.09963036367998,9597.29527261036
2019-01-29,01:33:01,-36.39982436169114,150.0923430524485,9598.446332990874
2019-01-29,01:33:11,-36.42351337154385,150.08504610626144,9598.297115344298
2019-01-29,01:33:21,-36.44719840635537,150.0777511581299,9596.825559419798
2019-01-29,01:33:31,-36.47090019504769,150.07049542354065,9597.03523539209
2019-01-29,01:33:41,-36.49448735336936,150.0629176673411,9596.44514391692
2019-01-29,01:33:51,-36.51790099243992,150.05436773907712,9599.000896392996
2019-01-29,01:34:01,-36.54116108517613,150.04497091861484,9607.75914971846
2019-01-29,01:34:11,-36.5640903040437,150.03482482443567,9606.516251300329
2019-01-29,01:34:21,-36.58685770482303,150.0242632824427,9605.94558768036
2019-01-29,01:34:31,-36.60950992517344,150.0134135312794,9607.162032854689
2019-01-29,01:34:41,-36.63206416615572,150.00227333007453,9608.46957474168
2019-01-29,01:34:51,-36.65454759889944,149.99096743398147,9607.85595626799
2019-01-29,01:35:01,-36.67698524863475,149.9795309256307,9607.284943738854
2019-01-29,01:35:11,-36.69939092216883,149.9680074923445,9606.501767232445
2019-01-29,01:35:21,-36.72178613273567,149.95643606216402,9605.65620887938
2019-01-29,01:35:31,-36.74417483040547,149.94480357111772,9606.128930163548
2019-01-29,01:35:41,-36.76656260786242,149.93312627114238,9606.668197256871
2019-01-29,01:35:51,-36.78895287539366,149.92140235984036,9603.826982230355
2019-01-29,01:36:01,-36.81136655508222,149.90963371931903,9601.801688502454
