Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s),Altitude Change
2022-09-30,16:24:07,-24.56142790380817,-47.90804410882117,10972.8,196.39473343834447,0.0
2022-09-30,16:24:12,-24.5659807332596,-47.916244891762986,10972.8,196.3180898656246,0.0
2022-09-30,16:24:17,-24.57052432878351,-47.92442805992867,10972.8,196.28284861579556,0.0
2022-09-30,16:24:22,-24.575060489267308,-47.932597310625745,10972.8,196.28418102281228,0.0
2022-09-30,16:24:27,-24.579591013598417,-47.94075634116171,10972.8,196.31725842062983,0.0
2022-09-30,16:24:32,-24.58411770066424,-47.948908848844106,10972.8,196.3772521432033,0.0
2022-09-30,16:24:37,-24.588642349352217,-47.95705853098041,10972.8,196.4593335244876,0.0
2022-09-30,16:24:42,-24.593166758549746,-47.965209084878154,10972.8,196.558673898438,0.0
2022-09-30,16:24:47,-24.597692727144256,-47.97336420784484,10972.8,196.67044459900936,0.0
2022-09-30,16:24:52,-24.60222205402316,-47.98152759718799,10972.8,196.78981696015677,0.0
2022-09-30,16:24:57,-24.60675653807388,-47.989702950215104,10972.8,196.9119623158353,0.0
2022-09-30,16:25:02,-24.611297978183835,-47.9978939642337,10972.8,197.032052,0.0
2022-09-30,16:25:07,-24.615847818010973,-48.00610360988428,10972.8,197.1460901202084,0.0
2022-09-30,16:25:12,-24.620406080295385,-48.01433195113939,10972.8,197.25341187842815,0.0
2022-09-30,16:25:17,-24.6249724325477,-48.02257832530453,10972.8,197.3541852502295,0.0
2022-09-30,16:25:22,-24.62954654227854,-48.030842069685235,10972.8,197.44857821118256,0.0
2022-09-30,16:25:27,-24.634128076998536,-48.039122521587025,10972.8,197.5367587368576,0.0
2022-09-30,16:25:32,-24.63871670421831,-48.04741901831543,10972.8,197.6188948028247,0.0
2022-09-30,16:25:37,-24.64331209144849,-48.05573089717598,10972.8,197.6951543846542,0.0
2022-09-30,16:25:42,-24.647913906199697,-48.06405749547418,10972.8,197.76570545791617,0.0
2022-09-30,16:25:47,-24.65252181598256,-48.07239815051556,10972.8,197.8307159981807,0.0
2022-09-30,16:25:52,-24.657135488307706,-48.08075219960566,10972.8,197.89035398101817,0.0
2022-09-30,16:25:57,-24.66175459068576,-48.08911898004999,10972.8,197.94478738199868,0.0
2022-09-30,16:26:02,-24.666378790627345,-48.09749782915408,10972.8,197.9941841766924,0.0
2022-09-30,16:26:07,-24.67100775564309,-48.10588808422344,10972.8,198.0387123406696,0.0
2022-09-30,16:26:12,-24.675641153243618,-48.11428908256362,10972.8,198.07853984950032,0.0
2022-09-30,16:26:17,-24.680278650939556,-48.12270016148012,10972.8,198.1138346787549,0.0
2022-09-30,16:26:22,-24.68491991624153,-48.13112065827848,10972.8,198.1447648040034,0.0
2022-09-30,16:26:27,-24.689564616660167,-48.13954991026421,10972.8,198.17149820081607,0.0
2022-09-30,16:26:32,-24.694212419706098,-48.14798725474285,10972.8,198.19420284476308,0.0
2022-09-30,16:26:37,-24.698862992889932,-48.15643202901991,10972.8,198.2130467114146,0.0
2022-09-30,16:26:42,-24.703516003722303,-48.16488357040092,10972.8,198.22819777634083,0.0
2022-09-30,16:26:47,-24.70817111971385,-48.17334121619141,10972.8,198.239824015112,0.0
2022-09-30,16:26:52,-24.712828008375176,-48.18180430369689,10972.8,198.24809340329816,0.0
2022-09-30,16:26:57,-24.71748633721692,-48.19027217022291,10972.8,198.2531739164697,0.0
2022-09-30,16:27:02,-24.72214577374971,-48.19874415307496,10972.8,198.25523353019665,0.0
2022-09-30,16:27:07,-24.72680598548417,-48.207219589558605,10972.8,198.25444022004925,0.0
2022-09-30,16:27:12,-24.731466639930915,-48.21569781697933,10972.8,198.2509619615976,0.0
2022-09-30,16:27:17,-24.736127404600584,-48.224178172642674,10972.8,198.24496673041205,0.0
2022-09-30,16:27:22,-24.740787947003795,-48.23265999385416,10972.8,198.23662250206263,0.0
2022-09-30,16:27:27,-24.745447934651175,-48.24114261791932,10972.8,198.2260972521196,0.0
2022-09-30,16:27:32,-24.750107035053357,-48.24962538214367,10972.8,198.21355895615315,0.0
2022-09-30,16:27:37,-24.75476491572096,-48.25810762383274,10972.8,198.19917558973347,0.0
2022-09-30,16:27:42,-24.759421244164603,-48.26658868029205,10972.8,198.18311512843067,0.0
2022-09-30,16:27:47,-24.764075687894927,-48.27506788882712,10972.8,198.165545547815,0.0
2022-09-30,16:27:52,-24.768727914422545,-48.28354458674348,10972.8,198.14663482345665,0.0
2022-09-30,16:27:57,-24.77337759125809,-48.29201811134666,10972.8,198.1265509309258,0.0
2022-09-30,16:28:02,-24.778024385912182,-48.300487799942175,10972.8,198.1054618457926,0.0
2022-09-30,16:28:07,-24.782667965895453,-48.30895298983555,10972.8,198.08353554362728,0.0
2022-09-30,16:28:12,-24.78730799871853,-48.31741301833231,10972.8,198.06094,0.0
2022-09-30,16:28:17,-24.791944223043473,-48.32586736220087,10972.677096774192,198.0378273461912,-0.12290322580702195
2022-09-30,16:28:22,-24.79657666213815,-48.33431605606118,10972.554193548389,198.01428633632267,-0.12290322580338398
2022-09-30,16:28:27,-24.801205410421865,-48.34275927399609,10972.43129032258,197.9903898802263,-0.12290322580884094
2022-09-30,16:28:32,-24.80583056231392,-48.35119719008844,10972.308387096771,197.96621088773404,-0.12290322580884094
2022-09-30,16:28:37,-24.810452212233617,-48.35962997842107,10972.185483870968,197.94182226867792,-0.12290322580338398
2022-09-30,16:28:42,-24.81507045460026,-48.36805781307684,10972.06258064516,197.9172969328899,-0.12290322580702195
2022-09-30,16:28:47,-24.819685383833153,-48.37648086813857,10971.939677419354,197.892707790202,-0.12290322580702195
2022-09-30,16:28:52,-24.824297094351607,-48.38489931768912,10971.816774193549,197.8681277504461,-0.12290322580520296
2022-09-30,16:28:57,-24.828905680574916,-48.39331333581133,10971.693870967742,197.8436297234542,-0.12290322580702195
2022-09-30,16:29:02,-24.83351123692239,-48.40172309658803,10971.570967741936,197.8192866190583,-0.12290322580520296
2022-09-30,16:29:07,-24.83811385781333,-48.41012877410209,10971.44806451613,197.79517134709033,-0.12290322580702195
2022-09-30,16:29:12,-24.842713637667043,-48.418530542436336,10971.325161290322,197.77135681738233,-0.12290322580702195
2022-09-30,16:29:17,-24.84731067090283,-48.426928575673614,10971.202258064515,197.74791593976624,-0.12290322580702195
2022-09-30,16:29:22,-24.85190505193999,-48.435323047896766,10971.07935483871,197.724921624074,-0.12290322580520296
2022-09-30,16:29:27,-24.856496875197845,-48.44371413318864,10970.956451612905,197.70244678013765,-0.12290322580520296
2022-09-30,16:29:32,-24.861086235095676,-48.45210200563207,10970.833548387096,197.6805643177891,-0.12290322580884094
2022-09-30,16:29:37,-24.8656732260528,-48.460486839309915,10970.710645161287,197.6593471468603,-0.12290322580884094
2022-09-30,16:29:42,-24.870257942488525,-48.46886880830502,10970.587741935484,197.63886817718333,-0.12290322580338398
2022-09-30,16:29:47,-24.874840478822144,-48.47724808670021,10970.464838709677,197.61920031859012,-0.12290322580702195
2022-09-30,16:29:52,-24.87942092947297,-48.485624848578325,10970.34193548387,197.6004164809126,-0.12290322580702195
2022-09-30,16:29:57,-24.8839993888603,-48.49399926802223,10970.219032258065,197.58258957398272,-0.12290322580520296
2022-09-30,16:30:02,-24.888575951403435,-48.50237151911477,10970.096129032258,197.56579250763255,-0.12290322580702195
2022-09-30,16:30:07,-24.8931507115217,-48.51074177593877,10969.97322580645,197.55009819169405,-0.12290322580702195
2022-09-30,16:30:12,-24.89772376363437,-48.519110212577075,10969.850322580643,197.53557953599912,-0.12290322580702195
2022-09-30,16:30:17,-24.90229520216077,-48.527477003112544,10969.727419354838,197.5223094503798,-0.12290322580520296
2022-09-30,16:30:22,-24.90686512152019,-48.53584232162801,10969.604516129031,197.510360844668,-0.12290322580702195
2022-09-30,16:30:27,-24.911433616131944,-48.54420634220632,10969.481612903226,197.49980662869575,-0.12290322580520296
2022-09-30,16:30:32,-24.91600078041533,-48.55256923893032,10969.35870967742,197.490719712295,-0.12290322580520296
2022-09-30,16:30:37,-24.920566708789664,-48.56093118588283,10969.235806451612,197.48317300529777,-0.12290322580884094
2022-09-30,16:30:42,-24.92513149567423,-48.56929235714673,10969.112903225809,197.47723941753588,-0.12290322580338398
2022-09-30,16:30:47,-24.929695235488342,-48.577652926804845,10968.99,197.47299185884148,-0.12290322580884094
2022-09-30,16:30:52,-24.934258022651314,-48.58601306894002,10968.867096774193,197.47050323904645,-0.12290322580702195
2022-09-30,16:30:57,-24.938819951582435,-48.5943729576351,10968.744193548388,197.4698464679828,-0.12290322580520296
2022-09-30,16:31:02,-24.943381116701012,-48.60273276697293,10968.62129032258,197.4710944554825,-0.12290322580702195
2022-09-30,16:31:07,-24.94794161242635,-48.61109267103634,10968.498387096774,197.47432011137752,-0.12290322580702195
2022-09-30,16:31:12,-24.952501533177763,-48.61945284390819,10968.375483870968,197.47959634549977,-0.12290322580520296
2022-09-30,16:31:17,-24.957060973374546,-48.62781345967131,10968.25258064516,197.48699606768133,-0.12290322580884094
2022-09-30,16:31:22,-24.961620027435995,-48.63617469240857,10968.129677419354,197.4965921877541,-0.12290322580520296
2022-09-30,16:31:27,-24.966178789781427,-48.64453671620278,10968.006774193547,197.5084576155501,-0.12290322580702195
2022-09-30,16:31:32,-24.97073735483014,-48.6528997051368,10967.883870967742,197.52266526090125,-0.12290322580520296
2022-09-30,16:31:37,-24.97529581700144,-48.66126383329348,10967.760967741937,197.53928803363956,-0.12290322580520296
2022-09-30,16:31:42,-24.979854270714625,-48.66962927475565,10967.63806451613,197.558398843597,-0.12290322580702195
2022-09-30,16:31:47,-24.984412810389006,-48.67799620360616,10967.515161290325,197.5800706006055,-0.12290322580520296
2022-09-30,16:31:52,-24.988971530443887,-48.68636479392785,10967.392258064516,197.60437621449708,-0.12290322580884094
2022-09-30,16:31:57,-24.993530525298578,-48.69473521980357,10967.26935483871,197.63138859510377,-0.12290322580520296
2022-09-30,16:32:02,-24.99808988937236,-48.70310765531615,10967.146451612904,197.66118065225737,-0.12290322580702195
2022-09-30,16:32:07,-25.00264971708456,-48.71148227454846,10967.023548387097,197.69382529579005,-0.12290322580702195
2022-09-30,16:32:12,-25.007210102854472,-48.719859251583316,10966.90064516129,197.7293954355337,-0.12290322580702195
2022-09-30,16:32:17,-25.0117711411014,-48.72823876050359,10966.777741935484,197.76796398132015,-0.12290322580520296
2022-09-30,16:32:22,-25.016332926244655,-48.73662097539208,10966.654838709675,197.80960384298163,-0.12290322580884094
2022-09-30,16:32:27,-25.02089555270353,-48.74500607033167,10966.53193548387,197.85438793034996,-0.12290322580520296
2022-09-30,16:32:32,-25.025459114897338,-48.753394219405195,10966.409032258063,197.90238915325713,-0.12290322580702195
2022-09-30,16:32:37,-25.03002370724538,-48.761785596695496,10966.286129032258,197.95368042153515,-0.12290322580520296
2022-09-30,16:32:42,-25.03458942416696,-48.77018037628541,10966.163225806453,198.008334645016,-0.12290322580520296
2022-09-30,16:32:47,-25.03915636008138,-48.778578732257785,10966.040322580646,198.06642473353153,-0.12290322580702195
