Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s),Altitude Change
2022-10-02,20:17:25,-36.474339955583446,171.27482247690477,11582.30103896104,243.72967046475193,-0.09896103895880515
2022-10-02,20:17:30,-36.47231844910495,171.26150817372945,11582.202077922078,243.618463827513,-0.09896103896244313
2022-10-02,20:17:35,-36.470314235705736,171.24818912324105,11582.103116883116,243.51275696268704,-0.09896103896244313
2022-10-02,20:17:40,-36.46832707930199,171.23486536124895,11582.004155844155,243.41247074467785,-0.09896103896062414
2022-10-02,20:17:45,-36.46635674380991,171.22153692356275,11581.905194805197,243.3175260478892,-0.09896103895880515
2022-10-02,20:17:50,-36.46440299314566,171.2082038459919,11581.806233766234,243.22784374672497,-0.09896103896244313
2022-10-02,20:17:55,-36.462465591225445,171.1948661643459,11581.707272727272,243.143344715589,-0.09896103896244313
2022-10-02,20:18:00,-36.46054430196542,171.18152391443428,11581.608311688313,243.06394982888503,-0.09896103895880515
2022-10-02,20:18:05,-36.458638889281794,171.1681771320665,11581.50935064935,242.98957996101697,-0.09896103896244313
2022-10-02,20:18:10,-36.45674911709074,171.15482585305202,11581.41038961039,242.92015598638855,-0.09896103896062414
2022-10-02,20:18:15,-36.45487474930844,171.14147011320037,11581.31142857143,242.85559877940364,-0.09896103896062414
2022-10-02,20:18:20,-36.45301554985109,171.12810994832105,11581.212467532469,242.79582921446604,-0.09896103896062414
2022-10-02,20:18:25,-36.451171282634846,171.11474539422355,11581.113506493506,242.74076816597963,-0.09896103896244313
2022-10-02,20:18:30,-36.44934171157592,171.10137648671736,11581.014545454544,242.69033650834817,-0.09896103896244313
2022-10-02,20:18:35,-36.447526600590486,171.08800326161202,11580.915584415585,242.64445511597543,-0.09896103895880515
2022-10-02,20:18:40,-36.44572571359472,171.07462575471695,11580.816623376622,242.60304486326532,-0.09896103896244313
2022-10-02,20:18:45,-36.44393881450481,171.06124400184166,11580.717662337662,242.56602662462168,-0.09896103896062414
2022-10-02,20:18:50,-36.442165667236935,171.04785803879565,11580.6187012987,242.5333212744482,-0.09896103896244313
2022-10-02,20:18:55,-36.44040603570729,171.0344679013884,11580.51974025974,242.5048496871488,-0.09896103895880515
