Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s),Altitude Change
2021-10-05,15:48:08,-35.025021015862045,-58.588600036272275,2438.4,150.732092,68.57999999999993
2021-10-05,15:48:13,-35.0318503647049,-58.58745440924428,2488.3533333333335,151.5939171083765,49.953333333333376
2021-10-05,15:48:18,-35.03867672080622,-58.586312084562465,2538.306666666667,152.45898924882837,49.953333333333376
2021-10-05,15:48:23,-35.04550745131274,-58.58517106711874,2588.26,153.33858061270564,49.953333333333376
2021-10-05,15:48:28,-35.05234992337117,-58.584029361805015,2638.2133333333336,154.2439633913585,49.953333333333376
2021-10-05,15:48:33,-35.05921150412822,-58.582884973513195,2688.1666666666665,155.18640977613703,49.95333333333292
2021-10-05,15:48:38,-35.06609956073064,-58.58173590713516,2738.12,156.17719195839143,49.953333333333376
2021-10-05,15:48:43,-35.07302146032514,-58.58058016756285,2788.0733333333333,157.22758212947173,49.953333333333376
2021-10-05,15:48:48,-35.079984570058436,-58.57941575968814,2838.026666666666,158.34885248072806,49.95333333333292
2021-10-05,15:48:53,-35.08699625707725,-58.57824068840294,2887.98,159.5522752035106,49.95333333333383
2021-10-05,15:48:58,-35.09406388852832,-58.57705295859917,2937.9333333333334,160.84912248916933,49.953333333333376
2021-10-05,15:49:03,-35.101194831558345,-58.575850575168715,2987.8866666666668,162.25066652905454,49.953333333333376
2021-10-05,15:49:08,-35.108396453314064,-58.57463154300349,3037.84,163.76817951451622,49.953333333333376
2021-10-05,15:49:13,-35.11567612094219,-58.57339386699538,3087.793333333333,165.4129336369046,49.95333333333292
2021-10-05,15:49:18,-35.123041201589444,-58.572135552036315,3137.746666666667,167.19620108756968,49.95333333333383
2021-10-05,15:49:23,-35.130499062402556,-58.57085460301819,3187.7,169.12925405786163,49.95333333333292
2021-10-05,15:49:28,-35.13805707052825,-58.5695490248329,3237.653333333333,171.22336473913063,49.953333333333376
2021-10-05,15:49:33,-35.14572259311323,-58.56821682237236,3287.6066666666666,173.48980532272668,49.953333333333376
2021-10-05,15:49:38,-35.15350299730424,-58.56685600052846,3337.56,175.939848,49.953333333333376
2021-10-05,15:49:43,-35.16140397569467,-58.56546631243965,3359.3314285714287,178.57400942458264,21.771428571428714
2021-10-05,15:49:48,-35.169424522664656,-58.56405450423049,3381.102857142857,181.34978409923457,21.77142857142826
2021-10-05,15:49:53,-35.17756195804101,-58.56262907027209,3402.8742857142856,184.2139109889976,21.771428571428714
2021-10-05,15:49:58,-35.185813601650565,-58.56119850493553,3424.6457142857143,187.11312905891376,21.771428571428714
2021-10-05,15:50:03,-35.19417677332013,-58.559771302591926,3446.417142857143,189.99417727402496,21.771428571428714
2021-10-05,15:50:08,-35.20264879287651,-58.55835595761237,3468.1885714285713,192.80379459937308,21.77142857142826
2021-10-05,15:50:13,-35.21122698014654,-58.55696096436797,3489.96,195.48872,21.771428571428714
2021-10-05,15:50:18,-35.21990841353885,-58.55559276198658,3538.593529411765,198.005718256671,48.63352941176481
2021-10-05,15:50:23,-35.22868920578944,-58.55424956862316,3587.2270588235297,200.35165741304445,48.63352941176481
2021-10-05,15:50:28,-35.2375652282161,-58.552927547189434,3635.860588235294,202.5334313285021,48.63352941176436
2021-10-05,15:50:33,-35.24653235213664,-58.55162286059711,3684.494117647059,204.5579338624256,48.63352941176481
2021-10-05,15:50:38,-35.25558644886887,-58.550331671757895,3733.127647058824,206.4320588741966,48.63352941176527
2021-10-05,15:50:43,-35.2647233897306,-58.54905014358352,3781.761176470589,208.16270022319696,48.63352941176481
2021-10-05,15:50:48,-35.27393904603964,-58.54777443898569,3830.394705882353,209.75675176880824,48.6335294117639
2021-10-05,15:50:53,-35.283229289113784,-58.54650072087615,3879.0282352941176,211.2211073704122,48.63352941176481
2021-10-05,15:50:58,-35.29258999027086,-58.54522515216658,3927.6617647058824,212.56266088739056,48.63352941176481
2021-10-05,15:51:03,-35.302017020828664,-58.54394389576873,3976.2952941176472,213.78830617912496,48.63352941176481
2021-10-05,15:51:08,-35.31150625210502,-58.542653114594295,4024.928823529411,214.90493710499717,48.6335294117639
