Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s)
2022-09-29,23:16:28,-12.610906246546664,-1.684231062865705,9748.39802259887,256.53188896600165
2022-09-29,23:16:33,-12.61291461204703,-1.6957648165439156,9748.390847457627,256.51489278448577
2022-09-29,23:16:38,-12.614918977789502,-1.7072988896427634,9748.383672316384,256.4979440116427
2022-09-29,23:16:43,-12.616919334890655,-1.7188332839011666,9748.37649717514,256.48104291256703
2022-09-29,23:16:48,-12.618915674467063,-1.7303680010580387,9748.369322033897,256.46418975235315
2022-09-29,23:16:53,-12.6209079876353,-1.7419030428522926,9748.362146892656,256.44738479609543
2022-09-29,23:16:58,-12.622896265511939,-1.7534384110228467,9748.354971751412,256.43062830888834
2022-09-29,23:17:03,-12.624880499213553,-1.7649741073086147,9748.34779661017,256.4139205558264
2022-09-29,23:17:08,-12.626860679856717,-1.7765101334485094,9748.340621468926,256.39726180200375
2022-09-29,23:17:13,-12.628836798558007,-1.7880464911814493,9748.333446327684,256.38065231251517
2022-09-29,23:17:18,-12.630808846433993,-1.7995831822463477,9748.32627118644,256.36409235245486
2022-09-29,23:17:23,-12.63277681460125,-1.8111202083821178,9748.319096045198,256.34758218691735
2022-09-29,23:17:28,-12.634740694176353,-1.822657571327678,9748.311920903954,256.3311220809969
2022-09-29,23:17:33,-12.636700476275875,-1.834195272821942,9748.30474576271,256.3147122997882
2022-09-29,23:17:38,-12.63865615201639,-1.8457333146038224,9748.29757062147,256.2983531083855
2022-09-29,23:17:43,-12.640607712514472,-1.8572716984122377,9748.290395480226,256.28204477188325
2022-09-29,23:17:48,-12.642555148886691,-1.8688104259861018,9748.283220338983,256.26578755537594
2022-09-29,23:17:53,-12.644498452249628,-1.880349499064327,9748.27604519774,256.249581723958
2022-09-29,23:17:58,-12.64643761371985,-1.8918889193858324,9748.268870056498,256.23342754272375
2022-09-29,23:18:03,-12.648372624413934,-1.9034286886895309,9748.261694915254,256.21732527676755
2022-09-29,23:18:08,-12.650303475448455,-1.9149688087143377,9748.254519774011,256.2012751911841
2022-09-29,23:18:13,-12.652230157939986,-1.9265092811991658,9748.247344632768,256.1852775510677
2022-09-29,23:18:18,-12.6541526630051,-1.9380501078829337,9748.240169491526,256.16933262151264
2022-09-29,23:18:23,-12.65607098176037,-1.9495912905045552,9748.232994350283,256.15344066761355
2022-09-29,23:18:28,-12.657985105322371,-1.9611328308029425,9748.22581920904,256.1376019544648
2022-09-29,23:18:33,-12.659895024807676,-1.972674730517015,9748.218644067796,256.12181674716066
2022-09-29,23:18:38,-12.661800731332862,-1.984216991385685,9748.211468926553,256.1060853107958
2022-09-29,23:18:43,-12.663702216014498,-1.9957596151478667,9748.204293785311,256.0904079104645
2022-09-29,23:18:48,-12.66559946996916,-2.007302603542478,9748.197118644068,256.0747848112613
2022-09-29,23:18:53,-12.667492484313422,-2.0188459583084324,9748.189943502824,256.05921627828036
2022-09-29,23:18:58,-12.669381250163859,-2.0303896811846425,9748.182768361581,256.04370257661645
2022-09-29,23:19:03,-12.671265758637043,-2.0419337739100274,9748.17559322034,256.0282439713638
2022-09-29,23:19:08,-12.673146000849547,-2.0534782382234997,9748.168418079096,256.01284072761683
2022-09-29,23:19:13,-12.675021967917948,-2.065023075863974,9748.161242937853,255.9974931104701
2022-09-29,23:19:18,-12.676893650958815,-2.076568288570367,9748.15406779661,255.9822013850179
2022-09-29,23:19:23,-12.678761041088727,-2.088113878081593,9748.146892655366,255.96696581635473
2022-09-29,23:19:28,-12.680624129424254,-2.0996598461365665,9748.139717514125,255.95178666957491
2022-09-29,23:19:33,-12.682482907081972,-2.1112061944742013,9748.132542372881,255.93666420977306
2022-09-29,23:19:38,-12.684337365178452,-2.1227529248334154,9748.125367231638,255.9215987020435
2022-09-29,23:19:43,-12.686187494830273,-2.1343000389531217,9748.118192090395,255.90659041148058
2022-09-29,23:19:48,-12.688033287154004,-2.145847538572234,9748.111016949153,255.89163960317885
2022-09-29,23:19:53,-12.68987473326622,-2.1573954254296708,9748.10384180791,255.8767465422327
2022-09-29,23:19:58,-12.691711824283498,-2.1689437012643453,9748.096666666666,255.8619114937365
2022-09-29,23:20:03,-12.69354455132241,-2.18049236781517,9748.089491525423,255.8471347227848
2022-09-29,23:20:08,-12.695372905499523,-2.1920414268210644,9748.082316384181,255.83241649447191
2022-09-29,23:20:13,-12.697196877931422,-2.2035908800209407,9748.075141242938,255.81775707389232
2022-09-29,23:20:18,-12.699016459734674,-2.215140729153713,9748.067966101695,255.8031567261404
2022-09-29,23:20:23,-12.700831642025852,-2.2266909759582996,9748.060790960451,255.78861571631063
2022-09-29,23:20:28,-12.702642415921536,-2.238241622173613,9748.053615819208,255.77413430949747
2022-09-29,23:20:33,-12.704448772538294,-2.2497926695385675,9748.046440677967,255.75971277079518
2022-09-29,23:20:38,-12.706250702992701,-2.26134411979208,9748.039265536723,255.74535136529838
2022-09-29,23:20:43,-12.708048198401332,-2.272895974673066,9748.03209039548,255.73105035810147
2022-09-29,23:20:48,-12.709841249880762,-2.284448235920438,9748.024915254236,255.71681001429877
2022-09-29,23:20:53,-12.71162984854756,-2.2960009052731114,9748.017740112995,255.70263059898474
2022-09-29,23:20:58,-12.713413985518306,-2.3075539844700037,9748.010564971752,255.68851237725386
2022-09-29,23:21:03,-12.715193651909567,-2.3191074752500276,9748.003389830508,255.67445561420055
2022-09-29,23:21:08,-12.716968838837927,-2.330661379352097,9747.996214689265,255.6604605749192
2022-09-29,23:21:13,-12.718739537419946,-2.34221569851513,9747.989039548022,255.64652752450425
2022-09-29,23:21:18,-12.72050573877221,-2.3537704344780406,9747.98186440678,255.63265672805016
2022-09-29,23:21:23,-12.722267434011286,-2.365325588979741,9747.974689265537,255.61884845065126
2022-09-29,23:21:28,-12.72402461425375,-2.37688116375915,9747.967514124293,255.6051029574021
2022-09-29,23:21:33,-12.725777270616176,-2.3884371605551813,9747.96033898305,255.59142051339705
2022-09-29,23:21:38,-12.727525394215139,-2.399993581106747,9747.953163841808,255.57780138373053
2022-09-29,23:21:43,-12.729268976167209,-2.411550427152767,9747.945988700565,255.56424583349695
2022-09-29,23:21:48,-12.731008007588962,-2.4231077004321535,9747.938813559322,255.55075412779078
2022-09-29,23:21:53,-12.732742479596972,-2.4346654026838204,9747.931638418078,255.53732653170644
2022-09-29,23:21:58,-12.734472383307812,-2.4462235356466855,9747.924463276837,255.52396331033833
2022-09-29,23:22:03,-12.736197709838057,-2.4577821010596628,9747.917288135593,255.5106647287809
2022-09-29,23:22:08,-12.737918450304281,-2.4693411006616666,9747.91011299435,255.4974310521286
2022-09-29,23:22:13,-12.739634595823059,-2.48090053619161,9747.902937853107,255.48426254547581
2022-09-29,23:22:18,-12.74134613751096,-2.4924604093884115,9747.895762711863,255.47115947391694
2022-09-29,23:22:23,-12.74305306648456,-2.5040207219909854,9747.888587570622,255.4581221025465
2022-09-29,23:22:28,-12.744755373860436,-2.515581475738244,9747.881412429379,255.44515069645885
2022-09-29,23:22:33,-12.746453050755157,-2.5271426723691057,9747.874237288135,255.4322455207484
2022-09-29,23:22:38,-12.748146088285297,-2.538704313622484,9747.867062146892,255.4194068405097
2022-09-29,23:22:43,-12.749834477567436,-2.550266401237292,9747.85988700565,255.40663492083706
2022-09-29,23:22:48,-12.751518209718142,-2.561828936952448,9747.852711864407,255.39393002682488
2022-09-29,23:22:53,-12.753197275853992,-2.5733919225068655,9747.845536723164,255.3812924235677
2022-09-29,23:22:58,-12.754871667091557,-2.584955359639458,9747.83836158192,255.36872237615987
2022-09-29,23:23:03,-12.75654137454741,-2.5965192500891434,9747.831186440677,255.35622014969584
2022-09-29,23:23:08,-12.758206389338131,-2.608083595594835,9747.824011299435,255.34378600927002
2022-09-29,23:23:13,-12.759866702580286,-2.619648397895447,9747.816836158192,255.33142021997688
2022-09-29,23:23:18,-12.761522305390455,-2.631213658729896,9747.809661016949,255.31912304691082
2022-09-29,23:23:23,-12.76317318888521,-2.6427793798370964,9747.802485875705,255.30689475516618
2022-09-29,23:23:28,-12.76481934418112,-2.6543455629559616,9747.795310734464,255.29473560983757
2022-09-29,23:23:33,-12.766460762394768,-2.6659122098254096,9747.78813559322,255.28264587601936
2022-09-29,23:23:38,-12.76809743464272,-2.677479322184354,9747.780960451977,255.27062581880588
2022-09-29,23:23:43,-12.769729352041553,-2.6890469017717087,9747.773785310734,255.25867570329154
2022-09-29,23:23:48,-12.77135650570784,-2.7006149503263885,9747.76661016949,255.24679579457094
2022-09-29,23:23:53,-12.772978886758155,-2.712183469587311,9747.759435028249,255.23498635773842
2022-09-29,23:23:58,-12.774596486309072,-2.7237524612933894,9747.752259887005,255.2232476578883
2022-09-29,23:24:03,-12.776209295477164,-2.7353219271835365,9747.745084745762,255.21157996011516
2022-09-29,23:24:08,-12.777817305379008,-2.7468918689966726,9747.737909604519,255.1999835295134
2022-09-29,23:24:13,-12.77942050713117,-2.758462288471709,9747.730734463277,255.1884586311773
2022-09-29,23:24:18,-12.781018891850236,-2.770033187347559,9747.723559322034,255.17700553020154
2022-09-29,23:24:23,-12.782612450652769,-2.781604567363142,9747.71638418079,255.16562449168035
2022-09-29,23:24:28,-12.78420117465535,-2.793176430257371,9747.709209039547,255.15431578070823
2022-09-29,23:24:33,-12.785785054974543,-2.804748777769159,9747.702033898306,255.14307966237956
2022-09-29,23:24:38,-12.787364082726933,-2.8163216116374246,9747.694858757062,255.13191640178886
2022-09-29,23:24:43,-12.78893824902909,-2.8278949336010806,9747.687683615819,255.12082626403048
2022-09-29,23:24:48,-12.790507544997585,-2.839468745399041,9747.680508474576,255.10980951419882
2022-09-29,23:24:53,-12.792071961748995,-2.851043048770223,9747.673333333332,255.0988664173884
2022-09-29,23:24:58,-12.793631490399893,-2.8626178454535416,9747.66615819209,255.08799723869362
2022-09-29,23:25:03,-12.79518612206685,-2.874193137187911,9747.658983050847,255.07720224320886
2022-09-29,23:25:08,-12.796735847866444,-2.8857689257122434,9747.651807909604,255.06648169602852
2022-09-29,23:25:13,-12.798280658915248,-2.8973452127654586,9747.64463276836,255.05583586224716
2022-09-29,23:25:18,-12.799820546329833,-2.908922000086469,9747.63745762712,255.04526500695908
2022-09-29,23:25:23,-12.801355501226775,-2.9204992894141886,9747.630282485876,255.03476939525876
2022-09-29,23:25:28,-12.802885514722648,-2.932077082487535,9747.623107344632,255.02434929224063
2022-09-29,23:25:33,-12.804410577934025,-2.943655381045422,9747.61593220339,255.01400496299914
2022-09-29,23:25:38,-12.805930681977479,-2.9552341868267624,9747.608757062146,255.00373667262863
2022-09-29,23:25:43,-12.807445817969585,-2.9668135015704755,9747.601581920904,254.99354468622363
2022-09-29,23:25:48,-12.808955977026915,-2.9783933270154734,9747.59440677966,254.9834292688785
2022-09-29,23:25:53,-12.81046115026605,-2.9899736649006705,9747.587231638418,254.97339068568772
2022-09-29,23:25:58,-12.811961328803553,-3.0015545169649838,9747.580056497174,254.96342920174558
2022-09-29,23:26:03,-12.813456503756006,-3.013135884947328,9747.572881355933,254.95354508214675
2022-09-29,23:26:08,-12.814946666239976,-3.0247177705866157,9747.56570621469,254.94373859198544
