Date,Time,Latitude,Longitude,Altitude (m)
2019-01-30,09:26:27,-26.109950998224463,28.24570999740249,1665.699962333776
2019-01-30,09:26:28,-26.11021222415678,28.245612678721468,1665.9773687199495
2019-01-30,09:26:29,-26.1104862735313,28.24551773324332,1666.163211610503
2019-01-30,09:26:30,-26.11077411041931,28.245423947618857,1666.270382339414
2019-01-30,09:26:31,-26.111076698892113,28.245330108498905,1666.3117722406612
2019-01-30,09:26:32,-26.11139500302101,28.245235002534262,1666.300272648223
2019-01-30,09:26:33,-26.111729986877318,28.245137416375776,1666.2487748960784
2019-01-30,09:26:34,-26.11208261453232,28.245036136674237,1666.1701703182057
2019-01-30,09:26:35,-26.112453850057328,28.24492995008049,1666.0773502485836
2019-01-30,09:26:36,-26.112844657523652,28.24481764324534,1665.9832060211907
2019-01-30,09:26:37,-26.11325600100257,28.244698002819593,1665.9006289700046
2019-01-30,09:26:38,-26.113688488558,28.244570156857787,1665.8464095882762
2019-01-30,09:26:39,-26.114141304224223,28.244434599029272,1665.852935006341
2019-01-30,09:26:40,-26.11461327602812,28.244292164407092,1665.9564915138055
2019-01-30,09:26:41,-26.11510323199654,28.244143688064273,1666.1933654002755
2019-01-30,09:26:42,-26.115610000156384,28.243990005073886,1666.5998429553586
2019-01-30,09:26:43,-26.116132696480047,28.243831728783206,1667.1982358721827
2019-01-30,09:26:44,-26.116671588722014,28.243668585636467,1667.9549574579632
2019-01-30,09:26:45,-26.117227232582266,28.243500080352085,1668.8224464234352
2019-01-30,09:26:46,-26.117800183760814,28.24332571764853,1669.753141479335
2019-01-30,09:26:47,-26.118390997957654,28.24314500224425,1670.6994813364
2019-01-30,09:26:48,-26.118999963196444,28.242957664488724,1671.6274946740293
2019-01-30,09:26:49,-26.1196262967954,28.24276433725554,1672.5575700462805
2019-01-30,09:26:50,-26.1202689483964,28.242565879049312,1673.5236859758734
2019-01-30,09:26:51,-26.12092686764134,28.24236314837468,1674.5598209855302
2019-01-30,09:26:52,-26.121599004172083,28.24215700373623,1675.6999535979705
2019-01-30,09:26:53,-26.122284573524485,28.241948171609472,1676.9709914396183
2019-01-30,09:26:54,-26.12298385481024,28.241736850353327,1678.371558551705
2019-01-30,09:26:55,-26.12369739303502,28.241523106297574,1679.8932080791642
2019-01-30,09:26:56,-26.12442573320448,28.241307005771997,1681.5274931669296
2019-01-30,09:26:57,-26.125169420324273,28.241088615106385,1683.2659669599345
2019-01-30,09:26:58,-26.12592899940009,28.240868000630517,1685.1001826031134
2019-01-30,09:26:59,-26.126704644677286,28.240645021565367,1687.0136006493888
2019-01-30,09:27:00,-26.127495047360032,28.2404187086966,1688.9573112836385
2019-01-30,09:27:01,-26.128298527892213,28.240187885701076,1690.874312098731
2019-01-30,09:27:02,-26.12911340671771,28.239951376255647,1692.7076006875334
2019-01-30,09:27:03,-26.1299380042804,28.239708004037176,1694.400174642913
2019-01-30,09:27:04,-26.130771097105733,28.239457024501107,1695.918571318977
2019-01-30,09:27:05,-26.13161328604535,28.23919942021726,1697.3234871147818
2019-01-30,09:27:06,-26.132465628032445,28.238936605534036,1698.6991581906227
2019-01-30,09:27:07,-26.133329180000224,28.238669994799835,1700.1298207067953
2019-01-30,09:27:08,-26.1342049988819,28.238401002363073,1701.6997108235955
2019-01-30,09:27:09,-26.135093596862426,28.238130692051044,1703.5187772602565
2019-01-30,09:27:10,-26.13599330713383,28.237858725606642,1705.7998189717637
2019-01-30,09:27:11,-26.136901918139877,28.237584414251632,1708.7813474720401
2019-01-30,09:27:12,-26.13781721832434,28.23730706920778,1712.7018742750092
2019-01-30,09:27:13,-26.138736996131016,28.237026001696886,1717.7999108945949
2019-01-30,09:27:14,-26.13965937885626,28.236740853183594,1724.237969594398
2019-01-30,09:27:15,-26.140583849206767,28.236452586104132,1731.8745656367328
2019-01-30,09:27:16,-26.141510228741815,28.23616249313759,1740.4922150335906
2019-01-30,09:27:17,-26.142438339020675,28.23587186696308,1749.8734337969636
2019-01-30,09:27:18,-26.143368001602642,28.235582000259704,1759.8007379388437
2019-01-30,09:27:19,-26.144299067221194,28.235293791303587,1770.0965081914555
2019-01-30,09:27:20,-26.145231503306675,28.235006560758958,1780.7425841679515
2019-01-30,09:27:21,-26.14616530646362,28.234719234887034,1791.7606702017156
2019-01-30,09:27:22,-26.14710047329656,28.234430739949065,1803.1724706261327
2019-01-30,09:27:23,-26.14803700041005,28.234140002206303,1814.9996897745882
2019-01-30,09:27:24,-26.1489747970141,28.233846235238463,1827.2494161212057
2019-01-30,09:27:25,-26.149913422740553,28.233549801899173,1839.8702747030668
2019-01-30,09:27:26,-26.150852349826714,28.23325135236053,1852.7962746979913
2019-01-30,09:27:27,-26.15179105050989,28.232951536794637,1865.9614252837996
2019-01-30,09:27:28,-26.152728997027403,28.23265100537362,1879.299735638313
2019-01-30,09:27:29,-26.15366570203045,28.232350381321783,1892.765383132953
2019-01-30,09:27:30,-26.154600839825807,28.232050180072342,1906.393217913548
2019-01-30,09:27:31,-26.155534125134142,28.231750890110703,1920.2382583195256
2019-01-30,09:27:32,-26.15646527267612,28.231452999922286,1934.3555226903145
2019-01-30,09:27:33,-26.15739399717242,28.231156997992528,1948.8000293653458
2019-01-30,09:27:34,-26.158320107053743,28.230863177486313,1963.5767435973678
2019-01-30,09:27:35,-26.159243785590988,28.230571050286482,1978.4904182924156
2019-01-30,09:27:36,-26.160165309765052,28.230279932955327,1993.2957532698424
2019-01-30,09:27:37,-26.16108495655687,28.229989142055167,2007.7474483490041
2019-01-30,09:27:38,-26.162003002947372,28.22969799414832,2021.600203349255
2019-01-30,09:27:39,-26.16291984651229,28.22940592593197,2034.6575589439528
2019-01-30,09:27:40,-26.163836367206677,28.2291128546429,2046.918419222463
2019-01-30,09:27:41,-26.164753565580387,28.22881881765276,2058.4305291281516
2019-01-30,09:27:42,-26.165672442183276,28.228523852333197,2069.2416336043852
2019-01-30,09:27:43,-26.1665939975652,28.22822799605588,2079.399477594532
2019-01-30,09:27:44,-26.167519006442348,28.227931254142526,2088.9597598419623
2019-01-30,09:27:45,-26.16844734019616,28.22763350371506,2098.0099942900592
2019-01-30,09:27:46,-26.169378644374415,28.227334589845498,2106.645648682209
2019-01-30,09:27:47,-26.170312564524885,28.227034357605824,2114.9621907617984
2019-01-30,09:27:48,-26.171248746195317,28.22673265206803,2123.0550882722127
2019-01-30,09:27:49,-26.172186834933488,28.226429318304106,2131.0198089568385
2019-01-30,09:27:50,-26.173126476287177,28.226124201386064,2138.9518205590625
2019-01-30,09:27:51,-26.174067315804145,28.225817146385893,2146.9465908222714
2019-01-30,09:27:52,-26.175008999032162,28.225507998375583,2155.099587489851
2019-01-30,09:27:53,-26.17595120624109,28.225196686919585,2163.5160430529404
2019-01-30,09:27:54,-26.176893756589184,28.224883479552123,2172.3402489936884
2019-01-30,09:27:55,-26.177836503956783,28.224568728299857,2181.7262615419954
2019-01-30,09:27:56,-26.178779302224243,28.22425278518948,2191.8281369277647
2019-01-30,09:27:57,-26.179722005271916,28.223936002247665,2202.7999313808978
2019-01-30,09:27:58,-26.180664531144895,28.223618821033615,2214.730904061191
2019-01-30,09:27:59,-26.181607054547246,28.223302041236664,2227.451125848027
2019-01-30,09:28:00,-26.182549814347798,28.22298655207866,2240.7258705506847
2019-01-30,09:28:01,-26.183493049415347,28.22267324278146,2254.3204119784423
2019-01-30,09:28:02,-26.18443699861874,28.22236300256694,2268.000023940578
2019-01-30,09:28:03,-26.185381878315233,28.222056473018863,2281.5447102097132
2019-01-30,09:28:04,-26.18632781481592,28.22175330516865,2294.7933944118386
2019-01-30,09:28:05,-26.187274911920348,28.22145290240962,2307.599730136287
2019-01-30,09:28:06,-26.188223273428047,28.221154668135092,2319.81737097239
2019-01-30,09:28:07,-26.189173003138585,28.220858005738396,2331.2999705094844
2019-01-30,09:28:08,-26.19012423038929,28.22056253152129,2341.9702615440833
2019-01-30,09:28:09,-26.191077186668654,28.22026871341922,2352.02729370143
2019-01-30,09:28:10,-26.192032129002953,28.219977232276058,2361.739195813949
2019-01-30,09:28:11,-26.19298931441846,28.219688768935672,2371.3740967140648
2019-01-30,09:28:12,-26.193948999941476,28.21940400424196,2381.200125234201
2019-01-30,09:28:13,-26.19491128319138,28.219123255091525,2391.4135555439993
2019-01-30,09:28:14,-26.195875624160024,28.218845382591944,2401.923243161952
2019-01-30,09:28:15,-26.196841323432324,28.21856888390352,2412.5661889437692
2019-01-30,09:28:16,-26.197807681593233,28.218292256186558,2423.179393745159
2019-01-30,09:28:17,-26.1987739992277,28.218013996601393,2433.5998584218323
2019-01-30,09:28:18,-26.199739732898898,28.217732885310774,2443.7117318520995
2019-01-30,09:28:19,-26.200704963082895,28.21744883448729,2453.58775500468
2019-01-30,09:28:20,-26.20166992623399,28.217162039305975,2463.347816870894
2019-01-30,09:28:21,-26.202634858806476,28.216872694941863,2473.1118064420616
2019-01-30,09:28:22,-26.20359999725467,28.216580996570013,2482.999612709507
2019-01-30,09:28:23,-26.204565393586698,28.216286771175234,2493.1199917057575
2019-01-30,09:28:24,-26.20553036202603,28.215988372981478,2503.537167628174
2019-01-30,09:28:25,-26.20649403234993,28.215683788022474,2514.304231715324
2019-01-30,09:28:26,-26.20745553433572,28.21537100233196,2525.4742752057755
2019-01-30,09:28:27,-26.20841399776068,28.21504800194367,2537.100389338099
2019-01-30,09:28:28,-26.209368926201186,28.214713658608492,2549.1970255699716
2019-01-30,09:28:29,-26.210321318429898,28.21437038694589,2561.624076235518
2019-01-30,09:28:30,-26.211272547018524,28.214021487292484,2574.2027938879714
2019-01-30,09:28:31,-26.212223984538802,28.213670259984884,2586.7544310805647
2019-01-30,09:28:32,-26.21317700356248,28.21332000535972,2599.100240366534
2019-01-30,09:28:33,-26.214132257787025,28.21297240106287,2611.1007877923735
2019-01-30,09:28:34,-26.21508752541298,28.212622633977283,2622.77389337763
2019-01-30,09:28:35,-26.21603986576662,28.212264268295147,2634.1766906351086
2019-01-30,09:28:36,-26.216986338174223,28.211890868208666,2645.366313077616
2019-01-30,09:28:37,-26.21792400196209,28.211495997910063,2656.39989421796
2019-01-30,09:28:38,-26.218850226316853,28.211073834881468,2667.283149709429
2019-01-30,09:28:39,-26.21976361986657,28.2106210097648,2677.816123767237
2019-01-30,09:28:40,-26.22066310109963,28.210134766491883,2687.747442747079
2019-01-30,09:28:41,-26.221547588504436,28.209612348994572,2696.8257330046495
2019-01-30,09:28:42,-26.2224160005694,28.209051001204706,2704.799620895646
2019-01-30,09:28:43,-26.223267175146574,28.2084485523176,2711.49849212094
2019-01-30,09:28:44,-26.224099627542646,28.20780517258234,2717.074769762113
2019-01-30,09:28:45,-26.224911792427953,28.207121617511472,2721.761636245921
2019-01-30,09:28:46,-26.225702104472827,28.206398642617557,2725.7922739991222
2019-01-30,09:28:47,-26.226468998347617,28.205637003413155,2729.399865448475
2019-01-30,09:28:48,-26.227210673420167,28.204837557112672,2732.8163652114226
2019-01-30,09:28:49,-26.22792438784828,28.204001567737976,2736.268816668154
2019-01-30,09:28:50,-26.22860716448727,28.203130401012753,2739.9830353895445
2019-01-30,09:28:51,-26.22925602619244,28.202225422660728,2744.1848369464687
2019-01-30,09:28:52,-26.22986799581912,28.201287998405626,2749.1000369098037
2019-01-30,09:28:53,-26.23044091011143,28.200319686061523,2754.8490044388627
2019-01-30,09:28:54,-26.230975861368762,28.19932281180404,2761.1303230467197
2019-01-30,09:28:55,-26.231474755779324,28.198299893899147,2767.537129834886
2019-01-30,09:28:56,-26.231939499531318,28.19725345061283,2773.6625619048714
2019-01-30,09:28:57,-26.232371998812972,28.19618600021109,2779.0997563581914
2019-01-30,09:28:58,-26.23277379543277,28.1950998706756,2783.529671887921
2019-01-30,09:28:59,-26.233144973680318,28.19399662885087,2786.984553553396
2019-01-30,09:29:00,-26.23348525346548,28.19287765129708,2789.5844680055143
2019-01-30,09:29:01,-26.233794354698144,28.191744314574446,2791.4494818951757
2019-01-30,09:29:02,-26.234071997288194,28.19059799524317,2792.699661873281
2019-01-30,09:29:03,-26.234318184959157,28.189439807123513,2793.452430550226
2019-01-30,09:29:04,-26.23453405668911,28.188269813075983,2793.8146343743892
2019-01-30,09:29:05,-26.23472103526977,28.18708781322116,2793.8904757536493
2019-01-30,09:29:06,-26.23488054349287,28.18589360767963,2793.7841570958826
2019-01-30,09:29:07,-26.235014004150127,28.18468699657195,2793.599880808965
2019-01-30,09:29:08,-26.235122675950528,28.18346796696096,2793.48401394325
2019-01-30,09:29:09,-26.235207161272058,28.182237253678437,2793.751582118993
2019-01-30,09:29:10,-26.235267898409965,28.1809957784984,2794.759775598925
2019-01-30,09:29:11,-26.23530532565949,28.17974446319488,2796.865784645776
2019-01-30,09:29:12,-26.23531988131588,28.178484229541887,2800.426799522278
2019-01-30,09:29:13,-26.235312003674387,28.177215999313468,2805.8000104911625
2019-01-30,09:29:14,-26.23528288736604,28.1759407569953,2813.2142058379995
2019-01-30,09:29:15,-26.235236752365036,28.174659737919733,2822.384565939715
2019-01-30,09:29:16,-26.235178574981372,28.173374240130805,2832.8978691960774
2019-01-30,09:29:17,-26.235113331525028,28.17208556167253,2844.340894006851
2019-01-30,09:29:18,-26.235045998306006,28.17079500058893,2856.300418771804
2019-01-30,09:29:19,-26.234980630379347,28.169503571803563,2868.413762846971
2019-01-30,09:29:20,-26.234917597780264,28.168211157757995,2880.520409413464
2019-01-30,09:29:21,-26.23485634928901,28.166917357773315,2892.5103826086647
2019-01-30,09:29:22,-26.234796333685846,28.165621771170613,2904.2737065699507
2019-01-30,09:29:23,-26.234736999751043,28.16432399727099,2915.7004054347053
2019-01-30,09:29:24,-26.23467789814164,28.163023601012657,2926.697021156315
2019-01-30,09:29:25,-26.234618987021864,28.16172000980227,2937.2361669521965
2019-01-30,09:29:26,-26.234560326432693,28.160412616663592,2947.306973855773
2019-01-30,09:29:27,-26.234501976415125,28.159100814620395,2956.8985729004653
2019-01-30,09:29:28,-26.234443997010167,28.15778399669646,2966.0000951196994
2019-01-30,09:29:29,-26.23438653819297,28.15646166454545,2974.6232631774055
2019-01-30,09:29:30,-26.23433010967527,28.15513375434068,2982.87016625955
2019-01-30,09:29:31,-26.23427531110293,28.153800310885337,2990.865485182604
2019-01-30,09:29:32,-26.23422274212184,28.152461378982622,2998.733900763042
2019-01-30,09:29:33,-26.234173002377887,28.15111700343575,3006.600093817339
2019-01-30,09:29:34,-26.23412646170893,28.149767252746138,3014.5546513334916
2019-01-30,09:29:35,-26.234082570720727,28.148412290208118,3022.551784985606
2019-01-30,09:29:36,-26.234040550211013,28.147052302814217,3030.5116126193107
2019-01-30,09:29:37,-26.233999620977528,28.145687477556987,3038.354252080233
2019-01-30,09:29:38,-26.23395900381802,28.144318001428985,3045.9998212140063
2019-01-30,09:29:39,-26.23391810889753,28.142943986173762,3053.3878291727224
2019-01-30,09:29:40,-26.233877103850364,28.141565242538945,3060.5353503343413
2019-01-30,09:29:41,-26.233836345678117,28.14018150602317,3067.4788503832833
2019-01-30,09:29:42,-26.233796191382396,28.138792512125065,3074.2547950039702
2019-01-30,09:29:43,-26.233756997964818,28.13739799634329,3080.8996498808274
2019-01-30,09:29:44,-26.23371904293238,28.135997739569024,3087.4616093222953
2019-01-30,09:29:45,-26.233682285813636,28.134591704263702,3094.0357821329007
2019-01-30,09:29:46,-26.233646606642544,28.133179898281295,3100.7290057411883
2019-01-30,09:29:47,-26.233611885453044,28.131762329475784,3107.648117575702
2019-01-30,09:29:48,-26.2335780022791,28.130339005701167,3114.8999550649896
2019-01-30,09:29:49,-26.233544717507527,28.128910028142045,3122.5762417411197
2019-01-30,09:29:50,-26.233511312936663,28.1274758713056,3130.7082455502627
2019-01-30,09:29:51,-26.233476950717655,28.126037103029606,3139.3121205421126
2019-01-30,09:29:52,-26.2334407930017,28.124594291151862,3148.404020766362
2019-01-30,09:29:53,-26.23340200194,28.12314800351018,3158.0001002727076
