Date,Time,Latitude,Longitude,Altitude (m)
2019-01-31,11:21:56,-22.583526999271022,-47.0198549975685,6536.4995920062065
2019-01-31,11:21:57,-22.582224881926738,-47.02167669319253,6545.885751260197
2019-01-31,11:21:58,-22.58091496870498,-47.02349828355432,6554.007759760837
2019-01-31,11:21:59,-22.579596241828366,-47.025317539196124,6561.147923775603
2019-01-31,11:22:00,-22.578267683519503,-47.027132230660236,6567.588549571965
2019-01-31,11:22:01,-22.576928276001016,-47.0289401284889,6573.611943417401
2019-01-31,11:22:02,-22.57557700149551,-47.03073900322444,6579.500411579385
2019-01-31,11:22:03,-22.574212842225606,-47.032526625409076,6585.53626032539
2019-01-31,11:22:04,-22.57283478041391,-47.0343007655851,6592.001795922891
2019-01-31,11:22:05,-22.571441798283047,-47.03605919429479,6599.179324639362
2019-01-31,11:22:06,-22.57003287805562,-47.03779968208041,6607.351152742276
2019-01-31,11:22:07,-22.56860700195425,-47.03951999948423,6616.799586499109
2019-01-31,11:22:08,-22.567163794896274,-47.04121919700388,6627.633558092914
2019-01-31,11:22:09,-22.565705452577937,-47.0429014449583,6639.2685033690495
2019-01-31,11:22:10,-22.564234813390208,-47.04457219362179,6650.946484088453
2019-01-31,11:22:11,-22.562754715724072,-47.046236893268684,6661.909562012064
2019-01-31,11:22:12,-22.561267997970475,-47.04790099417325,6671.39979890082
2019-01-31,11:22:13,-22.559776222507253,-47.04956766772098,6678.943667637465
2019-01-31,11:22:14,-22.558275847659612,-47.051230969742065,6685.20528559198
2019-01-31,11:22:15,-22.556762055739608,-47.05288267717783,6691.133181256146
2019-01-31,11:22:16,-22.555230029059285,-47.05451456696961,6697.675883121742
2019-01-31,11:22:17,-22.553674949930702,-47.05611841605877,6705.7819196805585
2019-01-31,11:22:18,-22.552092000665912,-47.05768600138667,6716.399819424377
2019-01-31,11:22:19,-22.550478470922783,-47.05921209856129,6730.145580226504
2019-01-31,11:22:20,-22.548840079742384,-47.060703477857246,6746.30507748634
2019-01-31,11:22:21,-22.547184653511614,-47.06216990821582,6763.831655984813
2019-01-31,11:22:22,-22.545520018617346,-47.063621158578286,6781.678660502845
2019-01-31,11:22:23,-22.543854001446476,-47.065066997885914,6798.799435821362
2019-01-31,11:22:24,-22.542192467575884,-47.0665147715797,6814.393113782363
2019-01-31,11:22:25,-22.540533439342322,-47.06796213109949,6828.641974472133
2019-01-31,11:22:26,-22.538872978272554,-47.06940430438485,6841.974085038035
2019-01-31,11:22:27,-22.53720714589331,-47.07083651937532,6854.817512627424
2019-01-31,11:22:28,-22.535532003731355,-47.072254004010496,6867.600324387661
2019-01-31,11:22:29,-22.53384455889288,-47.07365299063333,6880.66588436068
2019-01-31,11:22:30,-22.53214560080186,-47.07503372920039,6894.018744166699
2019-01-31,11:22:31,-22.530436864461702,-47.07639747407162,6907.578752320507
2019-01-31,11:22:32,-22.528720084875822,-47.07774547960698,6921.265757336895
2019-01-31,11:22:33,-22.526996997047643,-47.07907900016646,6934.999607730657
2019-01-31,11:22:34,-22.525268898674884,-47.08039900021702,6948.705222600281
2019-01-31,11:22:35,-22.523535338232477,-47.081705284653815,6962.327803379043
2019-01-31,11:22:36,-22.521795426889653,-47.082997368479,6975.817622083914
2019-01-31,11:22:37,-22.52004827581564,-47.084274766694726,6989.124950731869
2019-01-31,11:22:38,-22.518292996179696,-47.0855369943032,7002.200061339885
2019-01-31,11:22:39,-22.516529062650317,-47.086784041539545,7014.986411654118
2019-01-31,11:22:40,-22.514757403893114,-47.08801779957092,7027.400202337469
2019-01-31,11:22:41,-22.512979312072957,-47.08924063479743,7039.350819782023
2019-01-31,11:22:42,-22.511196079354725,-47.09045491361921,7050.747650379863
2019-01-31,11:22:43,-22.509408997903304,-47.09166300243638,7061.50008052308
2019-01-31,11:22:44,-22.507618935201695,-47.092866576321086,7071.533297465545
2019-01-31,11:22:45,-22.50582506000546,-47.09406454503349,7080.835691908275
2019-01-31,11:22:46,-22.504026116388257,-47.09525512700576,7089.411455414073
2019-01-31,11:22:47,-22.502220848423757,-47.09643654067008,7097.264779545744
2019-01-31,11:22:48,-22.50040800018566,-47.097607004458624,7104.399855866096
2019-01-31,11:22:49,-22.498586699005237,-47.09876532304007,7110.838889545261
2019-01-31,11:22:50,-22.496757605244216,-47.099912646029146,7116.676140182702
2019-01-31,11:22:51,-22.4949217625219,-47.10105070927703,7122.023880985203
2019-01-31,11:22:52,-22.49308021445762,-47.102181248634956,7126.994385159553
2019-01-31,11:22:53,-22.49123400467071,-47.103305999954145,7131.699925912544
2019-01-31,11:22:54,-22.489383964314783,-47.10442628556651,7136.244913133062
2019-01-31,11:22:55,-22.48753007468067,-47.105541773726884,7140.702303438382
2019-01-31,11:22:56,-22.485672104593473,-47.10665171917074,7145.137190127869
2019-01-31,11:22:57,-22.483809822878314,-47.107755376633605,7149.6146665008955
2019-01-31,11:22:58,-22.481942998360317,-47.108852000851016,7154.199825856836
