#ATom navigation files,,,,,,,,,,
#  ATom1: 2016-07-29 to 2016-08-23,,,,,,,,,,
#  ATom2: 2017-01-26 to 2017-02-21,,,,,,,,,,
#  ATom3: 2017-09-28 to 2017-10-27,,,,,,,,,,
#  ATom4: 2018-04-24 to 2018-05-21,,,,,,,,,,
#  Col 1: Index A#[sequence number], where #= 1,2,3,4,,,,,,
#  Col 2: Research Flight number,,,,,,,,,,
#  Col 3: Date as YYYYMMDD, starting date UTC,,,,,,,,,
#  Col 4: Start time of interval UTC seconds from midnight on YYYYMMDD (may exceed 86400, does not roll after midinght),,,,,,,,,
#  Col 5: End time of interval (10s nominal) UTC seconds from midnight on YYYYMMDD,,,,,,,,,,
#  Col 5,6, 7:  Latitude, Longitude, Altitude (deg, deg, m above masl). GPS data from MMS.,,,,
#  Col 8, 9: Pressure, Temperature (hPa, deg K)   Static pressure and temperature from MMS.,,,,,,,
#  Col 10:  Cumulative ground track distance (km, for each ATom deployment),,,,,,,,,
#index,RF,YYYYMMDD,UTC_Start,UTC_Stop,Latitude,Longitude,Altitude (m masl GPS),P (hPa),T(K),CumDist (km)
A3_00055,-2,20170914,69160,69170,34.049048,-118.222886,6127.2,480.143,264.415,90.73263
A3_00056,-2,20170914,69170,69180,34.029886,-118.22874,6211.23,474.985,263.879,92.92813
A3_00057,-2,20170914,69180,69190,34.010661,-118.234262,6292.17,470.081,263.385,95.12311
A3_00058,-2,20170914,69190,69200,33.99137,-118.239928,6373.8,465.123,262.76,97.33245
A3_00059,-2,20170914,69200,69210,33.972025,-118.245856,6460.05,459.957,261.971,99.54741
A3_00060,-2,20170914,69210,69220,33.952623,-118.251331,6547.58,454.768,261.206,101.7612
A3_00061,-2,20170914,69220,69230,33.933175,-118.257101,6633.87,449.669,260.445,103.9879
A3_00062,-2,20170914,69230,69240,33.913683,-118.263083,6717.81,444.744,259.915,106.2191
A3_00063,-2,20170914,69240,69250,33.894165,-118.268516,6809.43,439.408,259.286,108.4438
A3_00064,-2,20170914,69250,69260,33.874642,-118.27435,6900.43,434.188,258.493,110.6763
A3_00065,-2,20170914,69260,69270,33.855109,-118.280359,6988.25,429.232,257.759,112.9126
A3_00066,-2,20170914,69270,69280,33.835554,-118.285762,7075.36,424.313,257.133,115.1421
A3_00067,-2,20170914,69280,69290,33.815986,-118.291662,7164.51,419.359,256.493,117.3796
A3_00068,-2,20170914,69290,69300,33.796416,-118.297627,7252.42,414.474,255.775,119.6171
A3_00069,-2,20170914,69300,69310,33.776844,-118.302961,7340.18,409.669,255.031,121.848
A3_00070,-2,20170914,69310,69320,33.75731,-118.308936,7426.68,404.985,254.311,124.0768
A3_00071,-2,20170914,69320,69330,33.737895,-118.314771,7515.5,400.22,253.581,126.2825
A3_00072,-2,20170914,69330,69340,33.718576,-118.320091,7578.76,396.71,253.089,128.4902
A3_00073,-2,20170914,69340,69350,33.699283,-118.326059,7643.02,393.4,252.699,130.6988
A3_00074,-2,20170914,69350,69360,33.679942,-118.331846,7700.74,390.347,252.438,132.9038
A3_00075,-2,20170914,69360,69370,33.660547,-118.337115,7755.29,387.465,252.299,135.1221
A3_00076,-2,20170914,69370,69380,33.641105,-118.343012,7808.21,384.737,251.979,137.3477
A3_00077,-2,20170914,69380,69390,33.6216,-118.348785,7860.79,381.993,251.749,139.5729
A3_00078,-2,20170914,69390,69400,33.602053,-118.354178,7917.34,379.098,251.345,141.8089
A3_00079,-2,20170914,69400,69410,33.582485,-118.360183,7972.45,376.291,250.929,144.0496
A3_00080,-2,20170914,69410,69420,33.562884,-118.366036,8025.3,373.648,250.628,146.2872
A3_00081,-2,20170914,69420,69430,33.543225,-118.371563,8078.94,370.953,250.245,148.5372
A3_00082,-2,20170914,69430,69440,33.523523,-118.377498,8134.09,368.217,249.845,150.7895
A3_00083,-2,20170914,69440,69450,33.503793,-118.383173,8189.97,365.453,249.537,153.0382
A3_00084,-2,20170914,69450,69460,33.484041,-118.38873,8245.26,362.729,249.109,155.2972
A3_00085,-2,20170914,69460,69470,33.464265,-118.394684,8299.16,360.1,248.629,157.5574
A3_00086,-2,20170914,69470,69480,33.444461,-118.40034,8351.36,357.529,248.143,159.8158
A3_00087,-2,20170914,69480,69490,33.424641,-118.406004,8404.18,354.945,247.675,162.0808
A3_00088,-2,20170914,69490,69500,33.404799,-118.411955,8459.42,352.198,247.193,164.3482
A3_00089,-2,20170914,69500,69510,33.384799,-118.416797,8514.53,349.23,246.699,166.6181
A3_00090,-2,20170914,69510,69520,33.364312,-118.417982,8570.8,346.82,246.248,168.9097
A3_00091,-2,20170914,69520,69530,33.34369,-118.415729,8625.98,344.339,245.744,171.2195
A3_00092,-2,20170914,69530,69540,33.323129,-118.411567,8680.97,341.628,245.205,173.5307
A3_00093,-2,20170914,69540,69550,33.302542,-118.407702,8736.78,338.905,244.721,175.8381
A3_00094,-2,20170914,69550,69560,33.282035,-118.403165,8789.51,336.263,244.248,178.1596
A3_00095,-2,20170914,69560,69570,33.262172,-118.395535,8845.61,333.943,243.855,180.5016
A3_00096,-2,20170914,69570,69580,33.243343,-118.383856,8901.42,331.424,243.432,182.8541
A3_00097,-2,20170914,69580,69590,33.224854,-118.371314,8954.42,328.843,242.983,185.2041
A3_00098,-2,20170914,69590,69600,33.206232,-118.359284,9007.1,326.468,242.539,187.5768
A3_00099,-2,20170914,69600,69610,33.187586,-118.347263,9059.87,324.119,242.161,189.9245
A3_00100,-2,20170914,69610,69620,33.169038,-118.33491,9113.28,321.691,241.707,192.2757
A3_00101,-2,20170914,69620,69630,33.150547,-118.322493,9167.88,319.214,241.224,194.6284
A3_00102,-2,20170914,69630,69640,33.132074,-118.310247,9222.69,316.766,240.708,196.9926
A3_00103,-2,20170914,69640,69650,33.113603,-118.297932,9278.21,314.282,240.252,199.3344
A3_00104,-2,20170914,69650,69660,33.095162,-118.28566,9331.24,312.017,239.83,201.6659
A3_00105,-2,20170914,69660,69670,33.076757,-118.27355,9366.09,310.447,239.492,204.0165
A3_00106,-2,20170914,69670,69680,33.058356,-118.261674,9399.31,309.003,239.165,206.3363
A3_00107,-2,20170914,69680,69690,33.039967,-118.249683,9432.15,307.499,238.846,208.6548
A3_00108,-2,20170914,69690,69700,33.021534,-118.237736,9464.62,306.123,238.621,210.9743
A3_00109,-2,20170914,69700,69710,33.003063,-118.225978,9494.51,304.829,238.351,213.3215
A3_00110,-2,20170914,69710,69720,32.984575,-118.214151,9525.56,303.49,238.068,215.646
A3_00111,-2,20170914,69720,69730,32.966078,-118.202239,9556.86,302.14,237.77,217.9722
A3_00112,-2,20170914,69730,69740,32.947565,-118.190418,9588.03,300.828,237.487,220.3232
A3_00113,-2,20170914,69740,69750,32.929013,-118.178722,9604.42,300.13,237.329,222.6585
A3_00114,-2,20170914,69750,69760,32.910363,-118.166795,9603.69,300.195,237.33,225.0071
A3_00115,-2,20170914,69760,69770,32.891597,-118.154777,9596.66,300.528,237.364,227.372
A3_00116,-2,20170914,69770,69780,32.872743,-118.142807,9595.78,300.562,237.422,229.7743
A3_00117,-2,20170914,69780,69790,32.853812,-118.130658,9598.93,300.477,237.413,232.1626
A3_00118,-2,20170914,69790,69800,32.834789,-118.118346,9602.23,300.378,237.391,234.5646
A3_00119,-2,20170914,69800,69810,32.815645,-118.106038,9603.49,300.476,237.512,236.9997
A3_00120,-2,20170914,69810,69820,32.79607,-118.095005,9604.39,300.528,237.571,239.4001
A3_00121,-2,20170914,69820,69830,32.775516,-118.087239,9611.43,300.086,237.487,241.7778
A3_00122,-2,20170914,69830,69840,32.754426,-118.084704,9617.72,299.903,237.396,244.1182
A3_00123,-2,20170914,69840,69850,32.733659,-118.087334,9617.15,299.931,237.424,246.4267
A3_00124,-2,20170914,69850,69860,32.714065,-118.094992,9616.51,299.98,237.412,248.7122
A3_00125,-2,20170914,69860,69870,32.696407,-118.106631,9613.44,300.074,237.4,250.9622
A3_00126,-2,20170914,69870,69880,32.681233,-118.122328,9608.11,300.299,237.416,253.1986
A3_00127,-2,20170914,69880,69890,32.668528,-118.140636,9602.93,300.538,237.457,255.4327
A3_00128,-2,20170914,69890,69900,32.657615,-118.16041,9599.64,300.77,237.514,257.6173
A3_00129,-2,20170914,69900,69910,32.647711,-118.181021,9598.17,300.912,237.553,259.8545
A3_00130,-2,20170914,69910,69920,32.638461,-118.202079,9598.6,300.925,237.549,262.0944
A3_00131,-2,20170914,69920,69930,32.62976,-118.223475,9599.18,300.899,237.548,264.3346
A3_00132,-2,20170914,69930,69940,32.621494,-118.244939,9599.37,300.906,237.561,266.5201
A3_00133,-2,20170914,69940,69950,32.613473,-118.266683,9600.59,300.834,237.555,268.7602
A3_00134,-2,20170914,69950,69960,32.605603,-118.288528,9602.36,300.726,237.53,271.0011
A3_00135,-2,20170914,69960,69970,32.597768,-118.310221,9603.44,300.719,237.512,273.1868
A3_00136,-2,20170914,69970,69980,32.589829,-118.332006,9604.91,300.642,237.46,275.4275
A3_00137,-2,20170914,69980,69990,32.581841,-118.353747,9607.52,300.536,237.5,277.6676
A3_00138,-2,20170914,69990,70000,32.573928,-118.375478,9608.76,300.502,237.621,279.8532
A3_00139,-2,20170914,70000,70010,32.566131,-118.397234,9608.1,300.518,237.689,282.096
A3_00140,-2,20170914,70010,70020,32.558409,-118.419178,9607.2,300.556,237.726,284.3409
A3_00141,-2,20170914,70020,70030,32.550485,-118.440964,9605.68,300.359,237.713,286.5334
A3_00142,-2,20170914,70030,70040,32.540564,-118.461526,9603.66,300.502,237.76,288.7847
A3_00143,-2,20170914,70040,70050,32.527072,-118.479248,9600.68,300.608,237.78,291.0451
A3_00144,-2,20170914,70050,70060,32.510413,-118.493075,9598.5,300.659,237.761,293.3417
A3_00145,-2,20170914,70060,70070,32.491428,-118.502304,9600.15,300.618,237.825,295.6362
A3_00146,-2,20170914,70070,70080,32.471006,-118.507241,9607.94,300.528,237.928,297.9609
A3_00147,-2,20170914,70080,70090,32.450027,-118.509136,9616.25,300.293,237.883,300.2974
A3_00148,-2,20170914,70090,70100,32.428938,-118.510062,9617.95,300.188,237.782,302.6358
A3_00149,-2,20170914,70100,70110,32.407821,-118.510832,9616.77,300.268,237.691,304.9782
A3_00150,-2,20170914,70110,70120,32.386657,-118.51125,9616.58,300.313,237.664,307.3242
A3_00151,-2,20170914,70120,70130,32.365456,-118.511338,9617.31,300.268,237.614,309.6734
A3_00152,-2,20170914,70130,70140,32.344233,-118.511296,9617.68,300.298,237.591,312.0249
A3_00153,-2,20170914,70140,70150,32.322983,-118.511177,9617.13,300.372,237.683,314.3797
A3_00154,-2,20170914,70150,70160,32.301724,-118.511003,9618.26,300.362,237.723,316.7357
A3_00155,-2,20170914,70160,70170,32.280451,-118.510813,9618.34,300.365,237.67,319.0927
A3_00156,-2,20170914,70170,70180,32.259163,-118.510648,9616.22,300.523,237.703,321.4519
A3_00157,-2,20170914,70180,70190,32.237851,-118.510456,9616.65,300.513,237.776,323.8122
A3_00158,-2,20170914,70190,70200,32.216533,-118.510282,9617.96,300.528,237.766,326.1737
A3_00159,-2,20170914,70200,70210,32.195203,-118.510127,9617.71,300.589,237.788,328.5373
