Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s),Altitude Change
2022-09-30,19:36:37,-32.75996692003972,-69.41222464592732,11316.1572,193.6586239628414,-60.50280000000021
2022-09-30,19:36:42,-32.762002426368134,-69.42224652962413,11255.6544,193.3565712289512,-60.50280000000021
2022-09-30,19:36:47,-32.76403395243126,-69.43227109023518,11195.1516,193.04010322135773,-60.50280000000021
2022-09-30,19:36:52,-32.76606188023471,-69.44229775937136,11134.6488,192.7100933630892,-60.50279999999839
2022-09-30,19:36:57,-32.768086591784105,-69.45232596864359,11074.146,192.36741507717383,-60.50280000000021
2022-09-30,19:37:02,-32.77010846908508,-69.46235514966278,11013.6432,192.01294178663997,-60.50280000000021
2022-09-30,19:37:07,-32.77212789414327,-69.47238473403986,10953.1404,191.6475469145159,-60.50280000000021
2022-09-30,19:37:12,-32.774145248964295,-69.48241415338572,10892.6376,191.27210388382989,-60.50280000000021
2022-09-30,19:37:17,-32.776160915553774,-69.49244283931127,10832.1348,190.88748611761017,-60.50280000000021
2022-09-30,19:37:22,-32.77817527591735,-69.50247022342742,10771.632,190.49456703888507,-60.50280000000021
2022-09-30,19:37:27,-32.78018871206064,-69.51249573734509,10711.1292,190.0942200706828,-60.50280000000021
2022-09-30,19:37:32,-32.78220160598928,-69.52251881267517,10650.6264,189.6873186360316,-60.50280000000021
2022-09-30,19:37:37,-32.78421433970888,-69.53253888102863,10590.1236,189.27473615795984,-60.50279999999839
2022-09-30,19:37:42,-32.786227295225096,-69.54255537401629,10529.6208,188.8573460594958,-60.50280000000021
2022-09-30,19:37:47,-32.78824085454353,-69.55256772324915,10469.118,188.43602176366767,-60.50280000000021
2022-09-30,19:37:52,-32.790255399669824,-69.56257536033806,10408.6152,188.0116366935037,-60.50280000000021
2022-09-30,19:37:57,-32.7922713126096,-69.57257771689396,10348.1124,187.5850642720323,-60.50280000000021
2022-09-30,19:38:02,-32.79428897536849,-69.58257422452773,10287.6096,187.1571779222816,-60.50280000000021
2022-09-30,19:38:07,-32.79630876995213,-69.59256431485034,10227.1068,186.72885106728,-60.50280000000021
2022-09-30,19:38:12,-32.79833107836611,-69.60254741947266,10166.604,186.30095713005565,-60.50280000000021
2022-09-30,19:38:17,-32.8003562826161,-69.61252297000559,10106.1012,185.8743695336369,-60.50280000000021
2022-09-30,19:38:22,-32.8023847647077,-69.62249039806005,10045.5984,185.44996170105196,-60.50279999999839
2022-09-30,19:38:27,-32.804416906646566,-69.63244913524696,9985.0956,185.0286070553292,-60.50280000000021
2022-09-30,19:38:32,-32.806453090438296,-69.64239861317725,9924.5928,184.61117901949677,-60.50280000000021
2022-09-30,19:38:37,-32.80849369808854,-69.65233826346177,9864.09,184.19855101658305,-60.50280000000021
2022-09-30,19:38:42,-32.810539111602914,-69.6622675177115,9803.5872,183.7915964696162,-60.50280000000021
2022-09-30,19:38:47,-32.812589712987034,-69.6721858075373,9743.0844,183.3911888016246,-60.50280000000021
2022-09-30,19:38:52,-32.81464588424655,-69.68209256455013,9682.5816,182.99820143563647,-60.50280000000021
2022-09-30,19:38:57,-32.816708007387085,-69.69198722036084,9622.0788,182.6135077946801,-60.50280000000021
2022-09-30,19:39:02,-32.81877646441426,-69.7018692065804,9561.576,182.23798130178375,-60.50280000000021
2022-09-30,19:39:07,-32.820851637333696,-69.71173795481968,9501.0732,181.87249537997567,-60.50279999999839
2022-09-30,19:39:12,-32.822933908151036,-69.72159289668961,9440.5704,181.51792345228415,-60.50280000000021
