Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s),Altitude Change
2022-09-30,04:49:38,-23.0637455091094,-44.8036981454205,10024.872,218.867439920732,-10.668000000001484
2022-09-30,04:49:43,-23.065698924386673,-44.81399328519053,10014.204,218.86534340918436,-10.667999999999665
2022-09-30,04:49:48,-23.06766930969195,-44.824285427150926,10003.536,218.85027271253205,-10.667999999999665
2022-09-30,04:49:53,-23.06965612703645,-44.8345745298498,9992.868,218.8216679334082,-10.667999999999665
2022-09-30,04:49:58,-23.071658838431368,-44.84486055183523,9982.2,218.7789691744461,-10.667999999999665
2022-09-30,04:50:03,-23.07367690588793,-44.85514345165531,9971.532,218.72161653827888,-10.668000000001484
2022-09-30,04:50:08,-23.075709791417346,-44.86542318785815,9960.864,218.6490501275398,-10.667999999999665
2022-09-30,04:50:13,-23.077756957030815,-44.875699718991825,9950.196,218.56071004486205,-10.667999999999665
2022-09-30,04:50:18,-23.079817864739574,-44.885973003604434,9939.528,218.45603639287884,-10.667999999999665
2022-09-30,04:50:23,-23.08189197655481,-44.89624300024406,9928.86,218.33446927422335,-10.667999999999665
2022-09-30,04:50:28,-23.083978754487752,-44.906509667458806,9918.192,218.1954487915289,-10.668000000001484
2022-09-30,04:50:33,-23.08607766054961,-44.91677296379677,9907.524,218.0384150474285,-10.667999999999665
2022-09-30,04:50:38,-23.088188156751592,-44.927032847806025,9896.856,217.8628081445555,-10.667999999999665
2022-09-30,04:50:43,-23.090309705104907,-44.93728927803468,9886.188,217.66806818554304,-10.667999999999665
2022-09-30,04:50:48,-23.092441767620773,-44.94754221303083,9875.52,217.4536352730244,-10.667999999999665
2022-09-30,04:50:53,-23.094583806310403,-44.95779161134256,9864.852,217.21894950963272,-10.667999999999665
2022-09-30,04:50:58,-23.096735283185,-44.96803743151795,9854.184,216.96345099800124,-10.668000000001484
2022-09-30,04:51:03,-23.098895660255792,-44.978279632105114,9843.516,216.68657984076316,-10.667999999999665
2022-09-30,04:51:08,-23.10106439953398,-44.98851817165214,9832.848,216.3877761405517,-10.667999999999665
2022-09-30,04:51:13,-23.10324096303078,-44.99875300870712,9822.18,216.06648,-10.667999999999665
2022-09-30,04:51:18,-23.10542483400953,-45.00898400221245,9758.748648648649,215.72240362046787,-63.43135135135162
2022-09-30,04:51:23,-23.10761558074206,-45.01921061268776,9695.317297297295,215.3563475982211,-63.43135135135344
2022-09-30,04:51:28,-23.10981279275235,-45.02943220104701,9631.885945945944,214.9693846282521,-63.43135135135162
2022-09-30,04:51:33,-23.11201605956437,-45.039648128204135,9568.454594594596,214.5625874055532,-63.431351351347985
2022-09-30,04:51:38,-23.114224970702075,-45.04985775507307,9505.023243243244,214.1370286251167,-63.43135135135162
2022-09-30,04:51:43,-23.11643911568944,-45.060060442567774,9441.591891891892,213.69378098193508,-63.43135135135162
2022-09-30,04:51:48,-23.118658084050423,-45.07025555160218,9378.16054054054,213.2339171710006,-63.43135135135162
2022-09-30,04:51:53,-23.120881465308997,-45.08044244309025,9314.72918918919,212.7585098873056,-63.43135135135162
2022-09-30,04:51:58,-23.12310884898913,-45.0906204779459,9251.297837837838,212.26863182584256,-63.43135135135162
2022-09-30,04:52:03,-23.125339824614784,-45.10078901708309,9187.866486486488,211.76535568160372,-63.431351351349804
2022-09-30,04:52:08,-23.127573981709933,-45.11094742141576,9124.435135135136,211.2497541495815,-63.43135135135162
2022-09-30,04:52:13,-23.12981090979853,-45.12109505185786,9061.003783783784,210.72289992476823,-63.43135135135162
2022-09-30,04:52:18,-23.13205019840456,-45.13123126932332,8997.572432432433,210.18586570215635,-63.43135135135162
2022-09-30,04:52:23,-23.134291437051974,-45.14135543472611,8934.141081081081,209.63972417673807,-63.43135135135162
2022-09-30,04:52:28,-23.13653421526475,-45.15146690898013,8870.70972972973,209.08554804350587,-63.43135135135162
2022-09-30,04:52:33,-23.13877812256684,-45.16156505299937,8807.278378378378,208.52440999745207,-63.43135135135162
2022-09-30,04:52:38,-23.141022748482232,-45.17164922769776,8743.847027027026,207.95738273356903,-63.43135135135162
2022-09-30,04:52:43,-23.143267682534873,-45.18171879398922,8680.415675675677,207.3855389468491,-63.431351351349804
2022-09-30,04:52:48,-23.14551251424874,-45.191773112787715,8616.984324324325,206.80995133228464,-63.43135135135162
2022-09-30,04:52:53,-23.147756833147795,-45.20181154500719,8553.552972972973,206.23169258486803,-63.43135135135162
2022-09-30,04:52:58,-23.15000022875601,-45.21183345156158,8490.121621621622,205.6518353995916,-63.43135135135162
2022-09-30,04:53:03,-23.152242290597343,-45.22183819336483,8426.69027027027,205.0714524714477,-63.43135135135162
2022-09-30,04:53:08,-23.154482608195774,-45.23182513133089,8363.258918918918,204.4916164954288,-63.43135135135162
2022-09-30,04:53:13,-23.156720771075264,-45.241793626373706,8299.827567567569,203.91340016652708,-63.431351351349804
2022-09-30,04:53:18,-23.15895636875977,-45.2517430394072,8236.396216216217,203.33787617973505,-63.43135135135162
2022-09-30,04:53:23,-23.161188990773272,-45.26167273134534,8172.964864864865,202.76611723004493,-63.43135135135162
2022-09-30,04:53:28,-23.163418226639727,-45.271582063102066,8109.533513513514,202.1991960124492,-63.43135135135162
2022-09-30,04:53:33,-23.165643665883113,-45.28147039559132,8046.102162162162,201.6381852219402,-63.43135135135162
2022-09-30,04:53:38,-23.167864898027386,-45.29133708972703,7982.670810810811,201.08415755351024,-63.43135135135071
2022-09-30,04:53:43,-23.17008151259651,-45.30118150642315,7919.23945945946,200.53818570215176,-63.43135135135162
2022-09-30,04:53:48,-23.17229309911447,-45.31100300659365,7855.808108108108,200.00134236285697,-63.43135135135162
2022-09-30,04:53:53,-23.174499247105217,-45.32080095115243,7792.376756756757,199.4747002306183,-63.43135135135162
2022-09-30,04:53:58,-23.176699546092713,-45.330574701013454,7728.945405405406,198.95933200042825,-63.43135135135071
2022-09-30,04:54:03,-23.178893585600942,-45.34032361709067,7665.514054054054,198.456310367279,-63.43135135135162
2022-09-30,04:54:08,-23.18108095515386,-45.35004706029801,7602.082702702703,197.96670802616296,-63.43135135135162
2022-09-30,04:54:13,-23.183261244275435,-45.359744391549434,7538.651351351351,197.49159767207252,-63.43135135135162
2022-09-30,04:54:18,-23.185434042489636,-45.36941497175887,7475.22,197.032052,-63.43135135135071
2022-09-30,04:54:23,-23.187599050247695,-45.379057837674374,7427.3664,196.58839961606057,-47.85360000000037
2022-09-30,04:54:28,-23.18975641170994,-45.388670729380415,7379.5128,196.15799277086035,-47.85359999999946
2022-09-30,04:54:33,-23.19190638196396,-45.398251062795566,7331.6592,195.73743962612855,-47.85360000000037
2022-09-30,04:54:38,-23.194049216097355,-45.4077962538384,7283.805600000001,195.32334834359395,-47.85359999999946
2022-09-30,04:54:43,-23.196185169197697,-45.41730371842749,7235.952,194.9123270849857,-47.85360000000037
2022-09-30,04:54:48,-23.1983144963526,-45.426770872481406,7188.0984,194.5009840120327,-47.85360000000037
2022-09-30,04:54:53,-23.20043745264964,-45.43619513191873,7140.2448,194.08592728646397,-47.85359999999946
2022-09-30,04:54:58,-23.202554293176423,-45.44557391265803,7092.3912,193.66376507000857,-47.85360000000037
2022-09-30,04:55:03,-23.204665273020534,-45.454904630617875,7044.537600000001,193.23110552439545,-47.85359999999946
